Pāli1	POS	Pattern	count
bhikkhu	masc	u masc	37331.0
bhagavant	masc	ant masc	13582.0
āyasmant	masc	ant masc	4865.0
hetu	masc	u masc	1334.0
satthar	masc	ar masc	736.0
pubbe	ind		573.0
sīlavant	adj	ant adj	517.0
āyatiṃ	ind		475.0
dāni	ind		458.0
viññū	masc	ū masc	431.0
satimant	adj	ant adj	380.0
pāpimant	adj	ant adj	349.0
yadā	ind		343.0
garu	masc	u masc	320.0
pacchā	ind		258.0
paññavant	adj	ant adj	235.0
ajja	ind		226.0
sutavant	adj	ant adj	226.0
tadā	ind		217.0
cakkhumant	adj	ant adj	209.0
balavant	adj	ant adj	205.0
sabbāvant	adj	ant adj	172.0
ajjatagge	ind		156.0
assutavant	adj	ant adj	149.0
sadā	ind		130.0
phāsu	masc	u masc	129.0
bhāsitar	masc	ar masc	103.0
vattar	masc	ar masc	99.0
lokavidū	masc	ū masc	96.0
sāyaṃ	ind		94.0
idāni	ind		93.0
bhattar	masc	ar masc	83.0
maccu	masc	u masc	78.0
kattar	masc	ar masc	62.0
dātar	masc	ar masc	62.0
brahmāyu	masc	u masc	61.0
pāragū	masc	ū masc	60.0
abhibhū	masc	ū masc	60.0
akkhātar	masc	ar masc	55.0
pāto	ind		51.0
kadā	ind		51.0
mantar	masc	ar masc	50.0
vedagū	masc	ū masc	49.0
nhāru	masc	u masc	45.0
vidū	masc	ū masc	41.0
kuru	masc	u masc	39.0
ajjhāvasatar	masc	ar masc	39.0
paṃsu	masc	u masc	38.0
pasu	masc	u masc	34.0
sotar	masc	ar masc	33.0
ekadā	ind		33.0
suve	ind		30.0
susu	masc	u masc	28.0
sattu	masc	u masc	26.0
purā	ind		23.0
atippago	ind		22.0
