ID	Pāli1	Fin	ex	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Phonetic Changes	Derivative	Suffix	Compound	Compound Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Notes SBS	Notes RU	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Source4	Sutta4	Example4	Pali chant 4	English chant 4	Chapter 4	Index	Stem	Pattern	Test	class	count	audio	DPD	Pāli-old	eng-old	move	sync	no. for class filter	Feedback
16179	catumadhura	n	1	nt	comp						four sweets (ghee, honey, sugar and sesame oil)					catu + madhura																									DNa 1.2.18	sāmaññaphalasuttavaṇṇanā	yo pana ekasmiṃ bhājane muttaharīṭakaṃ ṭhapetvā ekasmiṃ <b>catumadhuraṃ</b>, gaṇhāhi, bhante, yadicchasī'ti											catumadhur	a nt	15			[sound:coming-soon.mp3]		catumadhura	four sweets (ghee, honey, sugar and sesame oil)				"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=catumadhura&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
41950	papañca	ppp	1	masc		papañceti					various opinions; proliferation; endless conceptualization; lit. expanding; spreading			√pañc 8 *e (to expand, spread)		pa + √pañc + a		kita	a			prapañca	√pac						MN 18	madhupiṇḍikasuttaṃ	yatonidānaṃ, bhikkhu, purisaṃ <b>papañca</b>saññāsaṅkhā samudācaranti. ettha ce n'atthi abhinanditabbaṃ abhivaditabbaṃ ajjhositabbaṃ.				SNP 49	kalahavivādasuttaṃ<br/>aṭṭhakavaggo 11	na saññasaññī na visaññasaññī, no'pi asaññī na vibhūtasaññī. evaṃ sametassa vibhoti rūpaṃ, saññānidānā hi <b>papañca</b>saṅkhā.				AN 4.174	ānandasuttaṃ	yāvatā papañcassa gati tāvatā channaṃ phass'āyatanānaṃ gati. channaṃ, āvuso, phass'āyatanānaṃ asesavirāganirodhā <b>papañca</b>nirodho <b>papañca</b>vūpasamo'ti.											papañc	a masc	15	2	85	[sound:papañca.mp3]	√√	papañca	various opinions; proliferation; endless conceptualization; lit. expanding; spreading 			2121	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=papañca&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
53351	saṅghādisesa 2	pp	1	masc	comp						offence requiring suspension; lit. offence requiring involvement of the community from start to finish					saṅgha + ādi + sesa				sattamī tappurisa	saṅgha + ādises<b>e</b>	saṃghāvaśeṣa			(VIN 6.8.5) <b>saṅghādiseso</b>'ti yaṃ vuttaṃ,<br/>taṃ suṇohi yathātathaṃ,<br/>saṅgho'va deti parivāsaṃ,<br/>mūlāya paṭikassati,<br/>mānattaṃ deti abbheti,<br/>ten'etaṃ iti vuccati.				VIN PAT SA 1	sukkavissaṭṭhi sikkhāpada	sañcetanikā sukkavissaṭṭhi aññatra supin'antā <b>saṅghādiseso</b>'ti.										VIN PAT SA 10	saṅghabheda sikkhāpada	yāvatatiyañ'ce samanubhāsiyamāno taṃ paṭinissajjeyya, icc'etaṃ kusalaṃ. no ce paṭinissajjeyya, <b>saṅghādiseso.</b>											saṅghādises	a masc	15	2	454	[sound:saṅghādisesa.mp3]	√√	saṅghādisesa 2	offence requiring suspension; lit. offence requiring involvement of the community from start to finish			2668	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=saṅghādisesa 2&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
15105	brahmacariya 1	ss	1	nt	comp						spiritual path; spiritual practice; holy life; celibacy					brahma + cariya				kammadhāraya	brahma + cariya	brahmacarya			(SNa) <b>brahmacariyan</b>'ti methunavirati.																MN 39	mahāassapurasuttaṃ	vimuttasmiṃ vimuttam'iti ñāṇaṃ hoti, khīṇā jāti, vusitaṃ <b>brahmacariyaṃ</b>, kataṃ karaṇīyaṃ, n'āparaṃ itthattāyā'ti pajānāti	Anupubba-sikkhā	The Gradual Training	Teachings	DN 16.21	mahāparinibbānasuttaṃ	yatha'y'idaṃ <b>brahmacariyaṃ</b> addhaniyaṃ assa ciraṭṭhitikaṃ, tadassa bahujanahitāya bahujanasukhāya lok'ānukampāya atthāya hitāya sukhāya devamanussānaṃ	Bodhipakkhiya-dhammā	Requisites for Awakening	Teachings	19n	brahmacariy	a nt	15	9	1035	[sound:brahmacariya.mp3]	√√	brahmacariya 1	spiritual path; holy life; celibacy	moved		818	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=brahmacariya 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
65289	vassa 2	pp	1	masc		vassati					rainy season; monsoon			√vass 1 a (to rain)		√vass + a		kita	a			varṣa	√vṛṣ						DHP 286	maggavaggo	idha v<b>assaṃ </b>vasissāmi, idha hem'antagimhisu, <br/>iti bālo vicinteti, antarāyaṃ na bujjhati.'										VIN 1.1.4	catutthapārājikaṃ	tena kho pana samayena sambahulā bhikkhū katikaṃ katvā aññatarasmiṃ āvāse <b>vassaṃ</b> upagacchiṃsu											vass	a masc	15	2	178	[sound:vassa.mp3]	√√	vassa 2	rainy season; monsoon			3232	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=vassa 2&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
71031	khemaka 2	nn	1	adj		khema					at peace; who is safe			√khi 1 a (to live, abide peacefully)		√khi > khe + *ma + ka<br/>khema + ka	i > e	taddhita	ka			kṣemaka	√kṣi																		SN 22.89	khemakasuttaṃ	tena kho pana samayena āyasmā <b>khemako</b> badarik'ārāme viharati ābādhiko dukkhito bāḷhagilāno.				API 36	abhirūpanandātherīapadānaṃ	dhītā <b>khemaka</b>sakkassa, nandā nāmāti vissutā.					khemak	a adj	15			[sound:khemaka.mp3]		khemaka 2	at peace; who is safe	moved			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=khemaka 2&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
13954	bhante	ss	1	masc	voc sg	bhavant					sir(s); lord(s); venerable sir(s); reverend(s)			√bhad 1 a (to be good, lucky)		√bhad + anta + e<br/>bhadanta + e						bhavantaḥ	√bhand																		AN 8.53	saṃkhittasuttaṃ	sādhu me, <b>bhante</b>, bhagavā saṃkhittena dhammaṃ desetu, yam'ahaṃ bhagavato dhammaṃ sutvā ekā vūpakaṭṭhā appamattā ātāpinī pahit'attā vihareyyan'ti	Saṅkhitta-dhamma	The Dhamma in Brief	Teachings	SN 22.59	anattalakkhaṇasuttaṃ	taṃ kiṃ maññatha, bhikkhave, rūpaṃ niccaṃ vā aniccaṃ vā'ti? aniccaṃ, <b>bhante</b>.	Anatta-lakkhaṇa-sutta	The Discourse on the Characteristic of Not-Self	Cardinal Suttas	38n	!*	bhavant masc	15			[sound:bhante.mp3]	√√	bhante	sir; lord; venerable sir; reverend	moved		742	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=bhante&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
15065	bojjhaṅga	ps	1	masc	comp						element of awakening; factor of enlightenment					bodhi + aṅga				chaṭṭhī tappurisa	bodh<b>iyā</b> + aṅga	bodhyanga																			AN 10.61	avijjāsuttaṃ	satta'p'āhaṃ <b>bojjh'aṅge</b> sāhāre vadāmi, no anāhāre. ko c'āhāro sattannaṃ bojjh'aṅgānaṃ? cattāro satipaṭṭhānā'ti'ssa vacanīyaṃ.				MN 118	ānāpānassatisuttaṃ	cattāro satipaṭṭhānā bhāvitā bahulīkatā satta<b>bojjh'aṅge</b> paripūrenti	Ānāpānassati	Mindfulness of Breathing	Teachings	22n	bojjhaṅg	a masc	15	2	317	[sound:bojjhaṅga.mp3]	√√	bojjhaṅga	element of awakening; factor of enlightenment	moved		814	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=bojjhaṅga&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
1276	abyāpāda	pss	1	masc	abstr	byāpajjati	neg				goodwill; kindness; friendliness; benevolence; lit. not ill-will			√pad 3 ya (to go, step)		na > a + vi > vy > by + ā + √pad > pād + *a	vi > by<br/>a > ā	kita	*a	kammadhāraya	na + byāpāda	na + vyāpādya	√pad	avyāpāda																	MN 19	dvedhāvitakkasuttaṃ	pahāsi byāpādavitakkaṃ, <b>abyāpāda</b>vitakkaṃ bahulamakāsi, tassaṃ taṃ abyāpādavitakkāya cittaṃ namati.				DN 22.18	mahāsatipaṭṭhānasuttaṃ	nekkhammasaṅkappo, <b>abyāpāda</b>saṅkappo, avihiṃsāsaṅkappo, ayaṃ vuccati bhikkhave sammāsaṅkappo.	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	21n	abyāpād	a masc	15	2	86	[sound:abyāpāda.mp3]	√√	abyāpāda	goodwill; kindness; friendliness; benevolence; lit. not ill-will	moved		66	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=abyāpāda&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
12780	āvuso	ps	1	ind	voc sg & pl						brother; brothers; friend; friends					āyasmanto > āyas(mant)o > āvuso										a familiar form of address among monks															AN 4.45	rohitassasuttaṃ	na c'āhaṃ, <b>āvuso</b>, appatvā'va lokassa antaṃ dukkhassa antakiriyaṃ vadāmi.				AN 4.180	mahāpadesasuttaṃ	idha, bhikkhave, bhikkhu evaṃ vadeyya, sammukhā m'etaṃ, <b>āvuso</b>, bhagavato sutaṃ sammukhā paṭiggahitaṃ, ayaṃ dhammo, ayaṃ vinayo, idaṃ satthusāsanan'ti.	Cattāro mahāpadesā	The Four Great References	Teachings	25n	-		15			[sound:āvuso.mp3]	√√	āvuso	brother; brothers; friend; friends	moved		676	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=āvuso&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
