Pāli1	count
ta	47741.0
bhikkhu	37331.0
ca	32306.0
iti	27188.0
kho	26308.0
ima	25877.0
tvaṃ	24775.0
ahaṃ	24626.0
na	20143.0
ya	20046.0
hoti	19313.0
vā	18368.0
api	14455.0
evaṃ	14072.0
bhagavant	13582.0
dhamma	12531.0
ka	12416.0
eva	11580.0
ti	11141.0
bhavant	10909.0
pe	10566.0
eta	9011.0
pana	7839.0
sī	6267.0
atha	5993.0
viharati	5581.0
syā	5361.0
hi	5225.0
pī	5207.0
āvuso	5035.0
āyasmant	4865.0
ka	4288.0
ka	4288.0
no	4209.0
para	4161.0
brāhmaṇa	4151.0
katama	4074.0
citta	4016.0
samaya	3913.0
idha	3870.0
loka	3778.0
atthi	3596.0
āpatti	3443.0
kī	3398.0
kāya	3281.0
ahosi	3104.0
dukkha	3094.0
nāma	3015.0
catu	3012.0
atta	2920.0
kathaṃ	2835.0
bhavati	2823.0
pañca	2805.0
attha	2769.0
satta	2714.0
rāja	2664.0
eka	2624.0
karoti	2597.0
pajānāti	2534.0
seyyathā	2509.0
añña	2465.0
nu	2448.0
vadati	2432.0
kaci	2429.0
vedanā	2407.0
samannāgata	2370.0
bhikkhunī	2349.0
sattar	2318.0
tattha	2295.0
samaṇa	2218.0
vuccati	2195.0
yathā	2174.0
purisa	2155.0
sabba	2150.0
deva	2138.0
sukha	2125.0
gacchati	2118.0
upasaṅkamitvā	2056.0
dvi	2015.0
rūpa	2001.0
puggala	1980.0
vutta	1972.0
santa	1913.0
ce	1901.0
passati	1869.0
kaṃ	1867.0
uppajjati	1820.0
maraṇa	1809.0
natthi	1803.0
jānāti	1776.0
aññā	1748.0
ṭhāna	1590.0
gahapati	1586.0
dukkaṭa	1558.0
manas	1531.0
maññati	1527.0
aññatara	1495.0
tatra	1487.0
kusala	1469.0
cetas	1461.0
arahant	1454.0
vācā	1443.0
dutiya	1438.0
vadeti	1429.0
viññāṇa	1418.0
nisinna	1415.0
suta	1405.0
saṅgha	1396.0
puna	1376.0
paṭhama	1373.0
magga	1356.0
ariya	1351.0
mā	1337.0
hetu	1334.0
saddhiṃ	1314.0
pācittiya	1295.0
upasampajja	1283.0
kamma	1257.0
tatiya	1249.0
sace	1239.0
akusala	1236.0
jhāna	1224.0
tathā	1221.0
ekacca	1201.0
tasmā	1196.0
nisīdi	1192.0
bhāveti	1174.0
sati	1173.0
sacca	1156.0
bhava	1156.0
satta	1152.0
paṭicca	1145.0
passanta	1134.0
anicca	1133.0
diṭṭha	1133.0
jāti	1121.0
viharanta	1119.0
kāma	1117.0
paṭipadā	1113.0
deseti	1111.0
saṃvattati	1107.0
paṭivirata	1100.0
sāvatthī	1089.0
sukhaṃ	1079.0
bheda	1076.0
vo	1065.0
abhiññā	1043.0
satthar	1036.0
uppanna	1029.0
dutiyaṃ	1024.0
catuttha	1019.0
saṅkhāra	1013.0
vata	1010.0
bahu	1009.0
kāla	1004.0
