Pāli1	POS	Pattern	count
ta	pron	ta pron	47741.0
bhikkhu	masc	u masc	37331.0
ca	ind		32306.0
iti	ind		27188.0
kho	ind		26308.0
ima	pron	ima pron	25877.0
na	ind		20143.0
ya	pron	a pron	20046.0
hoti	pr	hoti pr	19313.0
vā	ind		18368.0
api	ind		14455.0
evaṃ	ind		14072.0
bhagavant	masc	ant masc	13582.0
dhamma	masc	a masc	12531.0
ka	pron	ka pron	12416.0
eva	ind		11580.0
ti	card	ti card	11141.0
bhavant	masc	bhavant masc	10909.0
taṃ	pron	tvaṃ pron	10582.0
pe	abbrev		10566.0
te	pron	tvaṃ pron	9023.0
eta	pron	ta pron	9011.0
pana	ind		7839.0
me	pron	ahaṃ pron	6990.0
ahaṃ	pron	ahaṃ pron	6575.0
sī	abbrev		6267.0
atha	ind		5993.0
viharati	pr	ati pr	5581.0
syā	abbrev		5361.0
hi	ind		5225.0
pī	abbrev		5207.0
āvuso	ind		5035.0
āyasmant	masc	ant masc	4865.0
ka	abbrev		4288.0
no	pron	ahaṃ pron	4209.0
no	ind		4209.0
para	pron	a pron	4161.0
brāhmaṇa	masc	a masc	4151.0
katama	pron	a pron	4074.0
citta	nt	a nt	4016.0
samaya	masc	a masc	3913.0
idha	ind		3870.0
loka	masc	a masc	3778.0
atthi	pr	atthi pr	3596.0
ānanda	masc	a masc	3447.0
āpatti	fem	i fem	3443.0
kāya	masc	a masc	3281.0
assa	opt	ssa opt	3181.0
ahosi	aor	ahosi aor	3104.0
dukkha	adj	a adj	3094.0
dukkha	nt	a nt	3094.0
nāma	ind		3015.0
catu	card	catu card	3012.0
atta	masc	a2 masc	2920.0
kathaṃ	ind		2835.0
gotama	masc	a masc	2818.0
pañca	card	a1 card	2805.0
attha	masc	a masc	2769.0
satta	masc	a masc	2714.0
rāja	masc	rāja masc	2664.0
eka	card	eka card	2624.0
karoti	pr	karoti pr	2597.0
pajānāti	pr	āti pr	2534.0
añña	pron	a pron	2465.0
nu	ind		2448.0
vadati	pr	ati pr	2432.0
kaci	pron	kaci pron	2429.0
vedanā	fem	ā fem	2407.0
tvaṃ	pron	tvaṃ pron	2394.0
samannāgata	adj	a adj	2370.0
bhikkhunī	fem	ī fem	2349.0
tattha	ind		2295.0
samaṇa	masc	a masc	2218.0
vuccati	pr	ati pr	2195.0
yathā	ind		2174.0
purisa	masc	a masc	2155.0
sabba	pron	a pron	2150.0
deva	masc	a masc	2138.0
sukha	adj	a adj	2125.0
sukha	nt	a nt	2125.0
gacchati	pr	ati pr	2118.0
upasaṅkamitvā	abs		2056.0
dvi	card	dvi card	2015.0
rūpa	nt	a nt	2001.0
puggala	masc	a masc	1980.0
vutta	pp	a pp	1972.0
maṃ	pron	ahaṃ pron	1919.0
santa	masc	santa masc	1913.0
bhavissati	fut	issati fut	1910.0
ce	ind		1901.0
passati	pr	ati pr	1869.0
kaṃ	abbrev		1867.0
sāriputta	masc	a masc	1836.0
uppajjati	pr	ati pr	1820.0
maraṇa	nt	a nt	1809.0
natthi	pr	natthi pr	1803.0
dukkhaṃ	ind		1801.0
jānāti	pr	āti pr	1776.0
aññā	fem	ā fem	1748.0
ṭhāna	nt	a nt	1590.0
gahapati	masc	i masc	1586.0
dukkaṭa	adj	a adj	1558.0
manas	masc	as masc	1531.0
maññati	pr	ati pr	1527.0
buddha	masc	a masc	1517.0
aññatara	adj	a adj	1495.0
tatra	ind		1487.0
kusala	nt	a nt	1469.0
kusala	adj	a adj	1469.0
cetas	masc	as masc	1461.0
arahant	masc	arahant masc	1454.0
vācā	fem	ā fem	1443.0
dutiya	ordin	a ordin	1438.0
vadeti	pr	eti pr	1429.0
viññāṇa	nt	a nt	1418.0
nisinna	pp	a pp	1415.0
suta	pp	a pp	1405.0
saṅgha	masc	a masc	1396.0
mayaṃ	pron	ahaṃ pron	1392.0
puna	ind		1376.0
paṭhama	ordin	a ordin	1373.0
magga	masc	a masc	1356.0
ariya	masc	a masc	1351.0
ariya	adj	a adj	1351.0
mā	ind		1337.0
hetu	masc	u masc	1334.0
saddhiṃ	ind		1314.0
pācittiya	nt	a nt	1295.0
upasampajja	ger		1283.0
kamma	nt	kamma nt	1257.0
tatiya	ordin	a ordin	1249.0
sace	ind		1239.0
akusala	adj	a adj	1236.0
akusala	nt	a nt	1236.0
jhāna	nt	a nt	1224.0
tathā	ind		1221.0
ekacca	pron	a pron	1201.0
tasmā	ind		1196.0
nisīdi	aor	i aor	1192.0
bhāveti	pr	eti pr	1174.0
sati	fem	i fem	1173.0
bhava	masc	a masc	1156.0
sacca	adj	a adj	1156.0
sacca	nt	a nt	1156.0
satta	card	a1 card	1152.0
paṭicca	ger		1145.0
passanta	prp	anta prp	1134.0
anicca	adj	a adj	1133.0
diṭṭha	pp	a pp	1133.0
jāti	fem	jāti fem	1121.0
viharanta	prp	anta prp	1119.0
kāma	masc	a masc	1117.0
paṭipadā	fem	ā fem	1113.0
deseti	pr	eti pr	1111.0
saṃvattati	pr	ati pr	1107.0
paṭivirata	pp	a pp	1100.0
sāvatthī	fem	ī fem	1089.0
sukhaṃ	ind		1079.0
bheda	masc	a masc	1076.0
vo	pron	tvaṃ pron	1065.0
vo	ind		1065.0
abhiññā	fem	ā fem	1043.0
uppanna	pp	a pp	1029.0
dutiyaṃ	ind		1024.0
catuttha	ordin	a ordin	1019.0
saṅkhāra	masc	a masc	1013.0
vata	ind		1010.0
bahu	adj	u adj	1009.0
kāla	masc	a masc	1004.0
niṭṭhita	pp	a pp	1002.0
saccaṃ	ind		996.0
cha	card	a1 card	989.0
sammā	ind		989.0
samāna	adj	a adj	979.0
ettha	ind		975.0
sādhu	ind		973.0
pāpaka	adj	aka adj	964.0
mayā	pron	ahaṃ pron	961.0
āsava	masc	a masc	959.0
ajjhattaṃ	ind		956.0
āha	perf	āha perf	952.0
tatiyaṃ	ind		944.0
ṭhānaṃ	ind		941.0
bhāsita	nt	a nt	935.0
upapajjati	pr	ati pr	922.0
mama	pron	ahaṃ pron	921.0
paṭhamaṃ	ind		913.0
neva	ind		906.0
vadeyya	opt	eyya opt	900.0
āsana	nt	a nt	895.0
manussa	masc	a masc	894.0
carati	pr	ati pr	887.0
mahanta	adj	anta adj	887.0
paññā	fem	ā fem	885.0
abhivādetvā	abs		880.0
kata	pp	a pp	865.0
ṭhita	pp	a pp	864.0
deti	pr	eti pr	849.0
anāpatti	fem	i fem	839.0
mayhaṃ	pron	ahaṃ pron	837.0
tato	ind		836.0
bhāsati	pr	ati pr	833.0
sata	adj	a adj	817.0
vaṇṇa	masc	a masc	812.0
sāvaka	masc	a masc	803.0
siyā	opt	siyā opt	802.0
vadeyya	opt	eyya opt	800.0
pahāna	nt	a nt	793.0
sakka	masc	a masc	793.0
disvā	abs		786.0
pubba	adj	a adj	784.0
niraya	masc	a masc	780.0
pahāya	ger		776.0
cakkhu	nt	u nt	771.0
catutthaṃ	ind		769.0
labhati	pr	ati pr	768.0
saññā	fem	ā fem	765.0
sabbaṃ	ind		760.0
ratti	fem	ratti fem	755.0
kira	ind		754.0
āmantesi	aor	esi aor	747.0
tumhe	pron	tvaṃ pron	746.0
ārāma	masc	a masc	745.0
tiṭṭhati	pr	ati pr	745.0
anuttara	adj	a adj	743.0
suṇāti	pr	āti pr	739.0
dhāreti	pr	eti pr	737.0
satthar	masc	ar masc	736.0
jānanta	prp	anta prp	734.0
sīla	nt	a nt	723.0
thera	masc	a masc	722.0
agāra	nt	a nt	721.0
samādhi	masc	i masc	721.0
yattha	ind		717.0
putta	masc	a masc	716.0
vijjati	pr	ati pr	712.0
karaṇīya	ptp	a ptp	707.0
paribbājaka	masc	a masc	704.0
bhāvita	pp	a pp	691.0
pahīna	pp	a pp	685.0
yāva	ind		678.0
