Pāli1	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Pāli Root	Base	Construction	Sanskrit	Sk Root	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Stem	Pattern	count	Feedback	Tag	marks
accaya	masc		acceti				+gen	(of a person) passing away (of); death (of); lit. going beyond (of)		√i 1 a (to come, go)		ati > aty > acc + √i > ay + *a	atyaya	√i	SN 47.14	ukkacelasuttaṃ	ye hi keci, ānanda, eta'r'ahi vā mama-<b>accaye</b> vā attadīpā viharissanti attasaraṇā anaññasaraṇā dhammadīpā dhammasaraṇā anaññasaraṇā				accay	a masc	373.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=accaya&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	a-masc	
accaya	masc		acceti				+gen	(of time) passing (of); passage (of); lapse (of); lit. going beyond (of)		√i 1 a (to come, go)		ati > aty > acc + √i > ay + *a	atyaya	√i	SN 3.1	daharasuttaṃ	vanaṃ yad'aggi ḍahati,<br/>pāvako kaṇhavattanī,<br/>jāyanti tattha pārohā,<br/>ahorattānam'<b>accaye</b>.				accay	a masc	373.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=accaya&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	a-masc	
accaya	masc		acceti					fault; offence; transgression; lit. going beyond		√i 1 a (to come, go)		ati > aty > acc + √i > ay + *a	atyaya	√i	AN 9.11	sīhanādasuttaṃ	taggha taṃ, bhikkhu, <b>accayo</b> accagamā yathābālaṃ yathāmūḷhaṃ yathāakusalaṃ, yo tvaṃ sāriputtaṃ asatā tucchā musā abhūtena abbhācikkhi				accay	a masc	373.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=accaya&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	a-masc	
attha	masc		√ar					meaning; sense; significance		√ar 1 a (to move, attain)		√ar + tha	artha	√ṛ	AN 10.58	mūlakasuttaṃ	bhagavaṃmūlakā no, bhante, dhammā bhagavaṃnettikā bhagavaṃpaṭisaraṇā. sādhu vata, bhante, bhagavantaṃ'y'eva paṭibhātu etassa bhāsitassa <b>attho</b>. bhagavato sutvā bhikkhū dhāressantī'ti.				atth	a masc	2769.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attha&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	a-masc	
attha	masc		√ar					benefit; profit; good; welfare; goal		√ar 1 a (to move, attain)		√ar + tha	artha	√ṛ	AN 4.25	brahmacariyasuttaṃ	na'y'idaṃ, bhikkhave, brahmacariyaṃ vussati janakuhan'<b>atthaṃ</b>, na janalapan'<b>atthaṃ</b>, na lābhasakkārasilokānisaṃs'<b>atthaṃ</b>, na itivādappamokkhānisaṃs'<b>atthaṃ</b>, na iti maṃ jano jānātū'ti				atth	a masc	2769.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attha&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	a-masc	
attha	masc		√ar					purpose; use; function		√ar 1 a (to move, attain)		√ar + tha	artha	√ṛ	SNP 22	uṭṭhānasuttaṃ<br/>cūḷavaggo 10	uṭṭhahatha nisīdatha,<br/>ko <b>attho</b> supitena vo,<br/>āturānañ'hi kā niddā,<br/>sallaviddhāna ruppataṃ.				atth	a masc	2769.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attha&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	a-masc	
attha	masc		√ar					matter; affair; legal case; lawsuit		√ar 1 a (to move, attain)		√ar + tha	artha	√ṛ	DHP 256	dhammaṭṭhavaggo	na tena hoti dhammaṭṭho,<br/>yen'<b>atthaṃ</b> sāhasā naye,<br/>yo ca atthaṃ anatthañ'ca,<br/>ubho niccheyya paṇḍito.				atth	a masc	2769.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attha&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	a-masc	
attha	masc		√ar				+dat & +instr	need (for); want (for); lit. want (for with)		√ar 1 a (to move, attain)		√ar + tha	artha	√ṛ	VIN PAT NP 10	rājasikkhāpadaṃ	cīvar'atthikena, bhikkhave, bhikkhunā veyyāvaccakaro upasaṅkamitvā dvattikkhattuṃ codetabbo sāretabbo, <b>attho</b> me, āvuso, cīvarenā'ti				atth	a masc	2769.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attha&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	a-masc	
attha	masc							home; rest; shelter					asta		DHP 226	kodhavaggo	sadā jāgaramānānaṃ,<br/>ahoratt'ānusikkhinaṃ,<br/>nibbānaṃ adhimuttānaṃ,<br/><b>atthaṃ</b> gacchanti āsavā.				atth	a masc	2769.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attha&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	a-masc	
attha	masc																				atth	a masc	2769.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attha&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	a-masc	
adhamma	masc		dharati	neg				misconduct; moral behaviour; unjust means; cheating		√dhar 1 a (to hold, carry, endure)		na > a + √dhar + ma	adharma	√dhṛ	DHP 84	paṇḍitavaggo	na attahetu na parassa hetu,<br/>na puttam'icche na dhanaṃ na raṭṭhaṃ,<br/>na iccheyya <b>adhammena</b> samiddhim'attano,<br/>sa sīlavā paññavā dhammiko siyā.				adhamm	a masc	226.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=adhamma&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	a-masc	
adhamma	masc		dharati	neg				false teaching; something opposed to the teaching		√dhar 1 a (to hold, carry, endure)		na > a + √dhar + ma	adharma	√dhṛ	SN 2.22	khemasuttaṃ	evaṃ dhammā apakkamma,<br/><b>adhammam</b>'anuvattiya,<br/>mando maccumukhaṃ patto,<br/>akkhacchinno'va jhāyatī'ti.				adhamm	a masc	226.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=adhamma&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	a-masc	
adhigama	masc		adhigacchati				+gen	discovery (of); finding (of); attainment (of); achievement (of); lit. arrival (at)		√gam 1 a (to go)		adhi + √gam + a	adhigama	√gam	AN 9.37	ānandasuttaṃ	acchariyaṃ, āvuso, abbhutaṃ, āvuso! yāvañ'c'idaṃ tena bhagavatā jānatā passatā arahatā sammāsambuddhena sambādhe okāsa-<b>adhigamo</b> anubuddho sattānaṃ visuddhiyā sokaparidevānaṃ samatikkamāya dukkhadomanassānaṃ atthaṅ'gamāya ñāyassa <b>adhigamāya</b> nibbānassa sacchikiriyāya.				adhigam	a masc	214.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=adhigama&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	a-masc	
adhigama	masc																				adhigam	a masc	214.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=adhigama&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	a-masc	
adhigama	masc																				adhigam	a masc	214.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=adhigama&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	a-masc	
adhigama	masc																				adhigam	a masc	214.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=adhigama&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	a-masc	
anattha	masc		attha	neg				harm; misfortune; damage; injury; hurt		√ar 1 a (to move, attain)		na > an + √ar + tha	anartha	√ṛ	DHP 72	bālavaggo	yāva'd'eva <b>anatthāya</b>,<br/>ñattaṃ bālassa jāyati,<br/>hanti bālassa sukk'aṃsaṃ,<br/>muddham'assa vipātayaṃ.				anatth	a masc	222.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anattha&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	a-masc	
anupasampanna	masc		upasampajjati	neg				unordained person; who is not a higher-ordained; novice monastic or layperson; lit. not attained		√pad 3 ya (to go, step)		na > an + upa + saṃ + √pad + na	na + upasaṃpanna	√pad	VIN PAT PC 4	padasodhammasikkhāpadaṃ	yo pana bhikkhu <b>anupasampannaṃ</b> padaso dhammaṃ vāceyya, pācittiyaṃ.				anupasampann	a masc	214.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anupasampanna&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	a-masc	
anuruddha	masc	pp	anu √rudh					name of a monk; great disciple of the Buddha; foremost monk in the divine eye; cousin of the Buddha		√rudh 3 ya (to please, accept)		anu + √rudh + ta	anuruddha	√rudh	MN 118	ānāpānassatisuttaṃ	āyasmatā ca mahācundena āyasmatā ca <b>anuruddhena</b> āyasmatā ca revatena āyasmatā ca ānandena, aññehi ca abhiññātehi abhiññātehi therehi sāvakehi saddhiṃ.				anuruddh	a masc	424.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anuruddha&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	a-masc	
