Pāli1	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Pāli Root	Base	Construction	Sanskrit	Sk Root	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Stem	Pattern	count	Feedback	Tag	marks
akkhāti	pr					trans	+acc & +dat	says (to); tells (to); explains (to)		√khā 1 a (to tell, announce)	√khā + a > khā	ā + khā + ti	ākhyāti	√khyā	SNP 63	hemaka māṇava pucchā<br/>pārāyanavaggo 8	tvañ'ca me dhammam'<b>akkhāhi</b>,<br/>taṇhānigghātanaṃ muni,<br/>yaṃ viditvā sato caraṃ,<br/>tare loke visattikaṃ.				akkh	āti pr	149.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akkhāti&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	āti-pr	
ajjhāvasati	pr					trans	+acc	lives (in); inhabits; stays (in); is settled (in)		√vas 1 a (to live)	√vas + a > vasa	adhi > adhy > ajjh + ā + vasa + ti	adhyāvasati	√vas	AN 8.49	paṭhamaidhalokikasuttaṃ	kathañ'ca, visākhe, mātugāmo cāgasampanno hoti? idha, visākhe, mātugāmo vigatamalamaccherena cetasā agāraṃ <b>ajjhāvasati</b> muttacāgā payatapāṇinī vossaggaratā yācayogā dānasaṃvibhāgaratā.				ajjhāvas	ati pr	159.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ajjhāvasati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
ajjhāvasati	pr									√vas 1 a (to live)	√vas + a > vasa	adhi > adhy > ajjh + ā + vasa + ti	adhyāvasati	√vas							ajjhāvas	ati pr	159.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ajjhāvasati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
anujānāti	pr					trans	+acc or +inf	allows (to); permits (to); grants permission (to)		√ñā 5 nā (to know)	√ñā + nā > jānā	anu + jānā + ti	anujñānāti	√jñā	MN 140	dhātuvibhaṅgasuttaṃ	sace te, bhaggava, agaru viharemu āvesane ekarattan'ti. na kho me, bhante, garu. atthi c'ettha pabbajito paṭhamaṃ vās'ūpagato. sace so <b>anujānāti</b>, viharatha, bhante, yathāsukhan'ti.				anujān	āti pr	182.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anujānāti&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	āti-pr	
anujānāti	pr					trans	+acc or +inf	acknowledges; accepts; consents; appreciates		√ñā 5 nā (to know)	√ñā + nā > jānā	anu + jānā + ti	anujñānāti	√jñā	AN 4.195	vappasuttaṃ	sace me tvaṃ, vappa, anuññeyyañ'c'eva <b>anujāneyyāsi</b>, paṭikkositabbañ'ca paṭikkoseyyāsi, yassa ca me bhāsitassa atthaṃ na jāneyyāsi mam'ev'ettha uttari paṭipuccheyyāsi, idaṃ, bhante, kathaṃ, imassa ko attho'ti, siyā no ettha kathāsallāpo'ti.				anujān	āti pr	182.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anujānāti&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	āti-pr	
anussarati	pr					trans	+acc	remembers; recollects; bears in mind		√sar 1 a (to remember)	√sar + a > sara	anu + sara + ti	anusmarati	√smṛ	AN 10.71	ākaṅkhasuttaṃ	ye me petā ñātī sālohitā kālaṅ'katā pasannacittā <b>anussaranti</b> tesaṃ taṃ mahapphalaṃ assa mah'ānisaṃsan'ti				anussar	ati pr	356.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anussarati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
anussarati	pr					trans	+acc	follows; pursues; chases after; lit. flows behind		√sar 1 a (to go, flow)	√sar + a > sara	anu + sara + ti	anusarati	√sṛ	SNP 50	cūḷabyūhasuttaṃ<br/>aṭṭhakavaggo 12	kasmā nu saccāni vadanti nānā,<br/>pavādiyāse kusalā vadānā,<br/>saccāni sutāni bahūni nānā,<br/>udāhu te takkam'<b>anussaranti</b>.				anussar	ati pr	356.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anussarati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
abhijānāti	pr					trans	+acc	experiences; suffers; lit. completely knows		√ñā 5 nā (to know)	√ñā + nā > jānā	abhi + jānā + ti	abhijānāti	√jñā	APA 89	phaladāyaka therāpadānaṃ	dvenavute ito kappe,<br/>yaṃ phalaṃ adadiṃ ahaṃ,<br/>duggatiṃ na-<b>abhijānāmi</b>,<br/>phaladānassidaṃ phalaṃ.				abhijān	āti pr	106.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=abhijānāti&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	āti-pr	
abhijānāti	pr					trans	+acc	directly knows; understands experientially; knows for oneself; lit. completely knows		√ñā 5 nā (to know)	√ñā + nā > jānā	abhi + jānā + ti	abhijānāti	√jñā	AN 3.68	kathāvatthusuttaṃ	so saupaniso samāno <b>abhijānāti</b> ekaṃ dhammaṃ, parijānāti ekaṃ dhammaṃ, pajahati ekaṃ dhammaṃ, sacchikaroti ekaṃ dhammaṃ.				abhijān	āti pr	106.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=abhijānāti&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	āti-pr	
abhijānāti	pr					trans	+acc	is aware (of); is conscious (of); lit. completely knows		√ñā 5 nā (to know)	√ñā + nā > jānā	abhi + jānā + ti	abhijānāti	√jñā	DN 23.10	pāyāsisuttaṃ	<b>abhijānāsi</b> no tvaṃ, rājañña, divā seyyaṃ upagato supinakaṃ passitā ārāmarāmaṇeyyakaṃ vanarāmaṇeyyakaṃ bhūmirāmaṇeyyakaṃ pokkharaṇīrāmaṇeyyakan'ti				abhijān	āti pr	106.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=abhijānāti&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	āti-pr	
