Pāli1	count
dhamma	12531.0
brāhmaṇa	4151.0
samaya	3913.0
loka	3778.0
ānanda	3447.0
kāya	3281.0
gotama	2818.0
attha	2769.0
satta	2714.0
samaṇa	2218.0
tathāgata	2170.0
purisa	2155.0
deva	2138.0
puggala	1980.0
sāriputta	1836.0
buddha	1517.0
saṅgha	1396.0
magga	1356.0
bhava	1156.0
kāma	1117.0
bheda	1076.0
saṅkhāra	1013.0
kāla	1004.0
āsava	959.0
manussa	894.0
vaṇṇa	812.0
sāvaka	803.0
sakka	793.0
niraya	780.0
ārāma	745.0
thera	722.0
putta	716.0
paribbājaka	704.0
ayya	678.0
anāthapiṇḍika	674.0
ādīnava	642.0
upāsaka	632.0
nirodha	604.0
chanda	595.0
paccaya	579.0
rāga	578.0
māṇava	571.0
kassapa	566.0
vihāra	543.0
patta	534.0
dosa	524.0
khaya	514.0
pañha	512.0
nāga	505.0
māra	502.0
sagga	489.0
sadda	488.0
pāda	488.0
sugata	483.0
khattiya	479.0
pariyāya	476.0
bhoga	474.0
gāma	468.0
phassa	467.0
virāga	449.0
piṇḍa	448.0
rasa	437.0
moha	437.0
kosala	435.0
anuruddha	424.0
devānaminda	412.0
jana	396.0
vipāka	388.0
mārisa	377.0
mahānāma	377.0
gandha	375.0
samudaya	374.0
accaya	373.0
pasāda	371.0
parikkhaya	370.0
rājagaha	357.0
lābha	351.0
upasampanna	338.0
kumāra	331.0
tāta	318.0
assāda	316.0
cunda	314.0
nigaṇṭha	313.0
uppāda	311.0
vāseṭṭha	300.0
moggallāna	298.0
yakkha	296.0
vinipāta	295.0
vinaya	293.0
vasa	292.0
pabbata	290.0
apāya	286.0
nara	273.0
aggivessana	273.0
upakkilesa	269.0
bhāradvāja	269.0
pāṇa	265.0
āhāra	260.0
mahāmoggallāna	259.0
puthujjana	255.0
hattha	254.0
tāvatiṃsa	252.0
rāhula	249.0
rukkha	239.0
anta	239.0
adhamma	226.0
vaccha	223.0
uddesa	222.0
thullaccaya	222.0
anattha	222.0
nigama	219.0
vāda	214.0
saṃvara	214.0
anupasampanna	214.0
adhigama	214.0
vimokkha	210.0
sīha	209.0
raṭṭhapāla	209.0
mitta	207.0
vūpasama	206.0
piṇḍapāta	204.0
ābādha	200.0
nanda	200.0
bodhisatta	200.0
divasa	199.0
māsa	198.0
puṇṇa	197.0
vāta	192.0
janapada	192.0
ummattaka	191.0
mahākaccāna	186.0
sambodha	185.0
pātubhāva	185.0
āraññika	184.0
yoga	184.0
ākāsa	183.0
pallaṅka	183.0
kaccāna	182.0
pamāda	179.0
vassa	178.0
byāpāda	178.0
sāmika	176.0
nīvaraṇa	174.0
cora	174.0
bhadda	174.0
appiya	173.0
ānisaṃsa	172.0
samphappalāpa	172.0
ambaṭṭha	172.0
vitakka	171.0
gaṇa	171.0
yañña	167.0
appamāda	165.0
pasanna	164.0
