Pāli1	POS	Pattern	count
dhamma	masc	a masc	12531.0
brāhmaṇa	masc	a masc	4151.0
samaya	masc	a masc	3913.0
loka	masc	a masc	3778.0
ānanda	masc	a masc	3447.0
kāya	masc	a masc	3281.0
gotama	masc	a masc	2818.0
attha	masc	a masc	2769.0
satta	masc	a masc	2714.0
samaṇa	masc	a masc	2218.0
purisa	masc	a masc	2155.0
deva	masc	a masc	2138.0
puggala	masc	a masc	1980.0
sāriputta	masc	a masc	1836.0
buddha	masc	a masc	1517.0
saṅgha	masc	a masc	1396.0
magga	masc	a masc	1356.0
ariya	masc	a masc	1351.0
bhava	masc	a masc	1156.0
kāma	masc	a masc	1117.0
bheda	masc	a masc	1076.0
saṅkhāra	masc	a masc	1013.0
kāla	masc	a masc	1004.0
āsava	masc	a masc	959.0
manussa	masc	a masc	894.0
vaṇṇa	masc	a masc	812.0
sāvaka	masc	a masc	803.0
sakka	masc	a masc	793.0
niraya	masc	a masc	780.0
ārāma	masc	a masc	745.0
thera	masc	a masc	722.0
putta	masc	a masc	716.0
paribbājaka	masc	a masc	704.0
ayya	masc	a masc	678.0
paṇḍita	masc	a masc east	654.0
ādīnava	masc	a masc	642.0
upāsaka	masc	a masc	632.0
nirodha	masc	a masc	604.0
chanda	masc	a masc	595.0
paccaya	masc	a masc	579.0
rāga	masc	a masc	578.0
māṇava	masc	a masc	571.0
kassapa	masc	a masc	566.0
vihāra	masc	a masc	543.0
patta	masc	a masc	534.0
dosa	masc	a masc	524.0
khaya	masc	a masc	514.0
pañha	masc	a masc	512.0
nāga	masc	a masc	505.0
māra	masc	a masc	502.0
sagga	masc	a masc	489.0
sadda	masc	a masc	488.0
pāda	masc	a masc	488.0
sugata	masc	a masc	483.0
khattiya	masc	a masc	479.0
pariyāya	masc	a masc	476.0
bhoga	masc	a masc	474.0
gāma	masc	a masc	468.0
phassa	masc	a masc	467.0
bāla	masc	a masc east	462.0
virāga	masc	a masc	449.0
piṇḍa	masc	a masc	448.0
rasa	masc	a masc	437.0
moha	masc	a masc	437.0
kosala	masc	a masc	435.0
anuruddha	masc	a masc	424.0
jana	masc	a masc	396.0
vipāka	masc	a masc	388.0
mārisa	masc	a masc	377.0
gandha	masc	a masc	375.0
samudaya	masc	a masc	374.0
accaya	masc	a masc	373.0
pasāda	masc	a masc	371.0
parikkhaya	masc	a masc	370.0
lābha	masc	a masc	351.0
upasampanna	masc	a masc	338.0
kumāra	masc	a masc	331.0
tāta	masc	a masc	318.0
assāda	masc	a masc	316.0
cunda	masc	a masc	314.0
nigaṇṭha	masc	a masc	313.0
uppāda	masc	a masc	311.0
vāseṭṭha	masc	a masc	300.0
moggallāna	masc	a masc	298.0
yakkha	masc	a masc	296.0
vinipāta	masc	a masc	295.0
vinaya	masc	a masc	293.0
vasa	masc	a masc	292.0
pabbata	masc	a masc	290.0
apāya	masc	a masc	286.0
nara	masc	a masc	273.0
upakkilesa	masc	a masc	269.0
bhāradvāja	masc	a masc	269.0
pāṇa	masc	a masc	265.0
āhāra	masc	a masc	260.0
puthujjana	masc	a masc	255.0
hattha	masc	a masc	254.0
