Pāli1	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Pāli Root	Base	Construction	Sanskrit	Sk Root	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Stem	Pattern	count	Feedback	Tag	marks
aññattha	ind	adv	añña					elsewhere; in other places; somewhere else				aññā + ttha	anyatra		kaccāyana	ākhyātakappa 491	kāsattam'iti bhāvaniddesena <b>aññatth</b>'āpi s'āgamo hoti. ahosi, adāsi.				-		6.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=aññattha&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
iha	ind							(gram) here; in this regard; in this case				ima + ha	iha		bālāvatāra	sarasandhi	sare'ty'adhikāro. pana ime pana ime-ti-<b>iha</b> sarā lopaṃ itv'eva.				-		294.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=iha&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
ekato	ind	adv, abl sg	eka					on one side				eka + to	ekatas		SN 55.23	godhasakkasuttaṃ	idha, bhante, koci'd'eva dhammo samuppādo uppajjeyya, <b>ekato</b> assa bhagavā <b>ekato</b> bhikkhusaṅgho ca. yen'eva bhagavā ten'ev'āhaṃ assaṃ, evaṃ pasannaṃ maṃ, bhante, bhagavā dhāretu				-		63.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ekato&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
ekato	ind	adv, abl sg	eka					together				eka + to	ekatas		VIN 1.2.2	kāyasaṃsaggasikkhāpadaṃ	saddhin'ti <b>ekato</b>.				-		63.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ekato&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
ettha	ind	adv	ima					here; in this place; in this case; in this regard				ima + ttha	atra		SN 35.54	paṭhamachaphassāyatanasuttaṃ	sādhu bhikkhu <b>ettha</b> ca te bhikkhu cakkhu n'etaṃ mama n'eso'ham'asmi na m'eso attā'ti				-		975.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ettha&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
ettha	ind	adv	ima					(gram) in this grammatical rule				ima + ttha	atra								-		975.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ettha&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
katthaci	ind	adv	kattha					somewhere; anywhere				ka + ttha + ci<br/>kattha + ci	kutra + cid		KHP 9	karaṇīya mettasuttaṃ	na paro paraṃ nikubbetha,<br/>n'ātimaññetha <b>katthaci</b> naṃ kañci,<br/>byārosanā paṭighasaññā,<br/>n'āññam'aññassa dukkham'iccheyya.				-		108.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=katthaci&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
katthaci	ind	adv	kattha					(gram) in some places; in some contexts; optionally				ka + ttha + ci<br/>kattha + ci	kutra + cid								-		108.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=katthaci&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
kattha	ind	adv, interr	ka					where?				ka + ttha	kutra		DN 16.11	mahāparinibbānasuttaṃ	<b>kattha</b> āpo ca pathavī,<br/>tejo vāyo na gādhati,<br/><b>kattha</b> dīghañ'ca rassañ'ca,<br/>aṇuṃ thūlaṃ subh'āsubhaṃ,<br/><b>kattha</b> nāmañ'ca rūpañ'ca,<br/>asesaṃ uparujjhatī'ti?				-		81.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kattha&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
kuto	ind	adv, abl sg, interr	ka					from where?; where?				ka > ku + to	kutas		MN 2.2	sabbāsavasuttaṃ	eta'r'ahi vā paccuppannam'addhānaṃ ajjhattaṃ kathaṃkathī hoti, ahaṃ nu kho'smi? no nu kho'smi? kiṃ nu kho'smi? kathaṃ nu kho'smi? ayaṃ nu kho satto <b>kuto</b> āgato? so kuhiṃ gāmī bhavissatī'ti?				-		245.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kuto&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
