headword	pos	root	pattern	count	found
etadavoca	aor		avoca aor	3168.0	{'etadavoca': 2667, 'etadavocuṃ': 386, 'etadavocaṃ': 111, 'etadavocumha': 4}
ahosi	aor	√hū 1 (be)	ahosi aor	3104.0	{'ahosi': 2163, 'ahesuṃ': 376, 'ahu': 310, 'ahosiṃ': 163, 'ahuvattha': 33, 'ahuṃ': 28, 'ahuvā': 12, 'ahumhā': 10, 'ahesumha': 5, 'ahumha': 4}
tenupasaṅkami	aor		i aor	1846.0	{'tenupasaṅkami': 1396, 'tenupasaṅkamiṃsu': 319, 'tenupasaṅkamiṃ': 69, 'tenupasaṅkama': 48, 'tenupasaṅkamimha': 11, 'tenupasaṅkamimhā': 3}
maggi	aor	√magg 8 (seek, search)	i aor	1218.0	{'maggaṃ': 639, 'maggo': 553, 'maggā': 24, 'magga': 1, 'maggiṃ': 1}
nisīdi	aor	√sad 1 (sink, sit, settle)	i aor isuṃ	1192.0	{'nisīdi': 877, 'nisīdiṃsu': 251, 'nisīdiṃ': 37, 'nisīda': 16, 'nisīdimha': 3, 'nisīdimhā': 1, 'nisīdā': 5, 'nisīdī': 2}
bhavi	aor	√bhū 1 (be)	i aor	1059.0	{'bhavaṃ': 866, 'bhavo': 131, 'bhava': 33, 'bhavā': 29}
kiri	aor	√kir 1 (scatter, sprinkle)	i aor	759.0	{'kira': 754, 'kirā': 5}
āmantesi	aor	√mant 8 (counsel, invite)	esi aor	747.0	{'āmantesi': 740, 'āmantesiṃ': 6, 'āmantesuṃ': 1}
avoca	aor	√vac 1 (say, speak)	avoca aor	661.0	{'avoca': 505, 'avaca': 111, 'avacuttha': 18, 'avocumhā': 13, 'avacāsi': 8, 'avocumha': 2, 'avocaṃ': 1, 'avociṃ': 1, 'avocisuṃ': 1, 'avaciṃsu': 1}
sayi	aor	√sī 1 (lie, sleep)	i aor	654.0	{'sayaṃ': 653, 'sayiṃsu': 1}
paññāyi	aor	√ñā 5 (know)	i aor	628.0	{'paññāya': 577, 'paññāyittha': 43, 'paññāyiṃsu': 7, 'paññāyā': 1}
yati	aor		i aor	600.0	{'yato': 588, 'yataṃ': 10, 'yatā': 2}
udapādi	aor	√pad 3 (go, step)	i aor	519.0	{'udapādi': 469, 'udapādiṃ': 36, 'udapādī': 14}
assosi	aor	√su 4 (hear)	assosi aor	501.0	{'assosuṃ': 166, 'assu': 228, 'assosi': 83, 'assumha': 11, 'assuttha': 7, 'assosiṃ': 6}
passi	aor	√dis 1 (see)	i aor aṃsu	472.0	{'passaṃ': 269, 'passa': 197, 'passi': 3, 'passī': 1, 'passo': 1, 'passā': 1}
tāyi	aor	√tā 3 (protect, preserve)	i aor	435.0	{'tāya': 296, 'tāyaṃ': 131, 'tāyo': 8}
uttari	aor	√tar 1 (cross)	i aor	434.0	{'uttari': 186, 'uttariṃ': 125, 'uttaro': 41, 'uttaraṃ': 49, 'uttarā': 16, 'uttara': 15, 'uttarī': 2}
paccassosi	aor	√su 4 (hear)	i aor	385.0	{'paccassosuṃ': 256, 'paccassosi': 129}
āsavi	aor	√su 1 (flow)	i aor	376.0	{'āsavā': 360, 'āsavo': 13, 'āsavaṃ': 3}
ārocesi	aor	√ruc 1 (shine, like)	esi aor	357.0	{'ārocesuṃ': 228, 'ārocesi': 128, 'ārocesiṃ': 1}
sikkhi	aor	√sikkh 1 (learn, train)	i aor	325.0	{'sikkhā': 177, 'sikkhaṃ': 143, 'sikkhi': 5}
addasa	aor	√dis 1 (see)	ddasa aor	315.0	{'addasaṃ': 118, 'addasa': 86, 'addasaṃsu': 37, 'addasāma': 24, 'addakkhuṃ': 17, 'addakkhi': 14, 'adda': 4, 'adakkhi': 3, 'addā': 3, 'addasāsiṃ': 2, 'addasāsi': 2, 'addakkhiṃ': 3, 'addasuṃ': 2}
āhari	aor	√har 1 (carry)	hari aor	306.0	{'āhaṃsu': 297, 'āhāsi': 5, 'āhariṃsu': 2, 'āhari': 1, 'āhariṃ': 1}
nandi	aor	√nand 1 (delight, enjoy)	i aor	305.0	{'nandī': 79, 'nando': 60, 'nandiṃ': 34, 'nandaṃ': 22, 'nanda': 89, 'nandi': 12, 'nandā': 9}
vijji	aor	√vid 3 (be found, exist)	i aor	304.0	{'vijjā': 277, 'vijjaṃ': 24, 'vijjiṃsu': 2, 'vijjittha': 1}
