Pāli1	count
viharati	5581.0
bhavati	2823.0
vadati	2432.0
vuccati	2195.0
gacchati	2118.0
passati	1869.0
uppajjati	1820.0
maññati	1527.0
saṃvattati	1107.0
upapajjati	922.0
carati	887.0
bhāsati	833.0
labhati	768.0
tiṭṭhati	745.0
vijjati	712.0
samanupassati	617.0
āgacchati	613.0
āpajjati	575.0
pucchati	575.0
bhuñjati	542.0
paññāyati	513.0
bhaṇati	469.0
pajahati	440.0
sikkhati	436.0
khiyyati	428.0
nibbindati	423.0
ujjhāyati	412.0
nirujjhati	406.0
uddisati	394.0
anussarati	356.0
dissati	354.0
pahīyati	318.0
pabbajati	310.0
ākaṅkhati	291.0
jāyati	290.0
icchati	287.0
saṃsandati	276.0
parihāyati	270.0
vimuccati	262.0
vāyamati	241.0
pakkamati	237.0
pariyesati	233.0
paribhuñjati	232.0
chindati	230.0
nisīdati	229.0
vasati	223.0
khādati	221.0
paṭisañcikkhati	218.0
ācikkhati	216.0
āmasati	212.0
vaḍḍhati	204.0
sādiyati	198.0
jhāyati	196.0
ārabhati	194.0
upasaṅkamati	192.0
abhivaḍḍhati	192.0
khamati	191.0
rakkhati	190.0
paṭipajjati	190.0
socati	185.0
vedayati	183.0
vattati	182.0
jīvati	181.0
assasati	180.0
santiṭṭhati	175.0
sahati	173.0
passasati	173.0
pavisati	172.0
saṃvijjati	165.0
nandati	165.0
