Pāli1	Pattern	count
bhavissati	issati fut	1910.0
karissati	karoti pr	461.0
desessati	ssati fut	315.0
bhāsissati	issati fut	200.0
viharissati	issati fut	193.0
gamissati	issati fut	182.0
dassati	ssati fut	148.0
dakkhati	ati fut	125.0
assasissati	issati fut	119.0
ṭhassati	ssati fut	118.0
passasissati	issati fut	117.0
paññāyissati	issati fut	90.0
vakkhati	ati fut	81.0
byākarissati	issati fut	80.0
carissati	issati fut	80.0
dhāressati	ssati fut	75.0
bhāvessati	ssati fut	62.0
ñassati	ssati fut	56.0
bhaṇissati	issati fut	52.0
pakkamissati	issati fut	50.0
upādiyissati	issati fut	48.0
kāhati	ati fut	46.0
jānissati	issati fut	46.0
bhuñjissati	issati fut	45.0
parinibbāyissati	issati fut	43.0
