Pāli1	POS	Pattern	count
ānanda	masc	a masc	3447.0
gotama	masc	a masc	2818.0
sāriputta	masc	a masc	1836.0
buddha	masc	a masc	1517.0
sakka	masc	a masc	793.0
kassapa	masc	a masc	566.0
udāyī	masc	ī masc	530.0
sugata	masc	a masc	483.0
kosala	masc	a masc	435.0
anuruddha	masc	a masc	424.0
pasenadi	masc	i masc	320.0
cunda	masc	a masc	314.0
nigaṇṭha	masc	a masc	313.0
vāseṭṭha	masc	a masc	300.0
vipassī	masc	ī masc	299.0
moggallāna	masc	a masc	298.0
bhāradvāja	masc	a masc	269.0
rāhula	masc	a masc	249.0
visākhā	fem	ā fem	239.0
vesālī	fem	ī fem	211.0
nanda	masc	a masc	200.0
puṇṇa	masc	a masc	197.0
māgadha	adj	a adj	184.0
kaccāna	masc	a masc	182.0
vajjī	masc	ī masc pl	173.0
ambaṭṭha	masc	a masc	172.0
upāli	masc	i masc	163.0
sunakkhatta	masc	a masc	158.0
nigrodha	masc	a masc	157.0
gaṅgā	fem	ā fem	156.0
licchavi	masc	i masc	150.0
rādha	masc	a masc	141.0
kālāma	masc	a masc	132.0
mātalī	masc	ī masc	104.0
mallā	masc	a masc pl	101.0
brahmāyu	masc	u masc	61.0
sikhī	masc	ī masc	51.0
kuru	masc	u masc	39.0
