Pāli1	Pattern	count
viharati	ati pr	5581.0
vadati	ati pr	2432.0
vuccati	ati pr	2195.0
gacchati	ati pr	2118.0
passati	ati pr	1869.0
uppajjati	ati pr	1820.0
maññati	ati pr	1527.0
saṃvattati	ati pr	1107.0
upapajjati	ati pr	922.0
carati	ati pr	887.0
bhāsati	ati pr	833.0
labhati	ati pr	768.0
tiṭṭhati	ati pr	745.0
vijjati	ati pr	712.0
samanupassati	ati pr	617.0
āgacchati	ati pr	613.0
āpajjati	ati pr	575.0
pucchati	ati pr	575.0
bhuñjati	ati pr	542.0
paññāyati	ati pr	513.0
bhaṇati	ati pr	469.0
pajahati	ati pr	440.0
sikkhati	ati pr	436.0
khiyyati	ati pr	428.0
nibbindati	ati pr	423.0
ujjhāyati	ati pr	412.0
nirujjhati	ati pr	406.0
uddisati	ati pr	394.0
anussarati	ati pr	356.0
dissati	ati pr	354.0
pahīyati	ati pr	318.0
pabbajati	ati pr	310.0
ākaṅkhati	ati pr	291.0
jāyati	ati pr	290.0
icchati	ati pr	287.0
saṃsandati	ati pr	276.0
parihāyati	ati pr	270.0
vimuccati	ati pr	262.0
vāyamati	ati pr	241.0
pakkamati	ati pr	237.0
pariyesati	ati pr	233.0
paribhuñjati	ati pr	232.0
chindati	ati pr	230.0
nisīdati	ati pr	229.0
vasati	ati pr	223.0
khādati	ati pr	221.0
paṭisañcikkhati	ati pr	218.0
ācikkhati	ati pr	216.0
āmasati	ati pr	212.0
vaḍḍhati	ati pr	204.0
sādiyati	ati pr	198.0
jhāyati	ati pr	196.0
ārabhati	ati pr	194.0
upasaṅkamati	ati pr	192.0
abhivaḍḍhati	ati pr	192.0
khamati	ati pr	191.0
paṭipajjati	ati pr	190.0
rakkhati	ati pr	190.0
socati	ati pr	185.0
vedayati	ati pr	183.0
vattati	ati pr	182.0
jīvati	ati pr	181.0
assasati	ati pr	180.0
santiṭṭhati	ati pr	175.0
passasati	ati pr	173.0
pavisati	ati pr	172.0
saṃvijjati	ati pr	165.0
nandati	ati pr	165.0
muccati	ati pr	162.0
ajjhāvasati	ati pr	159.0
pasavati	ati pr	157.0
vandati	ati pr	153.0
namati	ati pr	153.0
samudācarati	ati pr	151.0
parimuccati	ati pr	151.0
paṭinissajjati	ati pr	149.0
pasīdati	ati pr	149.0
arahati	ati pr	149.0
vivarati	ati pr	148.0
haññati	ati pr	141.0
samāpajjati	ati pr	136.0
pivati	ati pr	135.0
harati	ati pr	135.0
phusati	ati pr	134.0
