Pāli1	POS	Pattern	count
vadeti	pr	eti pr	1429.0
bhāveti	pr	eti pr	1174.0
deseti	pr	eti pr	1111.0
deti	pr	eti pr	849.0
dhāreti	pr	eti pr	737.0
paññapeti	pr	eti pr	595.0
samādapeti	pr	eti pr	430.0
vipāceti	pr	eti pr	410.0
sameti	pr	eti pr	351.0
paṭisaṃvedeti	pr	eti pr	331.0
upeti	pr	eti pr	312.0
kappeti	pr	eti pr	284.0
āroceti	pr	eti pr	283.0
ceteti	pr	eti pr	253.0
gameti	pr	eti pr	248.0
paripūreti	pr	eti pr	247.0
viññāpeti	pr	eti pr	177.0
adhivāseti	pr	eti pr	173.0
janeti	pr	eti pr	160.0
vedeti	pr	eti pr	154.0
pavedeti	pr	eti pr	144.0
seti	pr	eti pr	140.0
vuṭṭhāpeti	pr	eti pr	133.0
