Pāli1	POS	Pattern	count
viharati	pr	ati pr	5581.0
karoti	pr	karoti pr	2597.0
pajānāti	pr	āti pr	2534.0
vadati	pr	ati pr	2432.0
vuccati	pr	ati pr	2195.0
gacchati	pr	ati pr	2118.0
passati	pr	ati pr	1869.0
uppajjati	pr	ati pr	1820.0
jānāti	pr	āti pr	1776.0
maññati	pr	ati pr	1527.0
vadeti	pr	eti pr	1429.0
bhāveti	pr	eti pr	1174.0
deseti	pr	eti pr	1111.0
saṃvattati	pr	ati pr	1107.0
upapajjati	pr	ati pr	922.0
carati	pr	ati pr	887.0
deti	pr	eti pr	849.0
bhāsati	pr	ati pr	833.0
labhati	pr	ati pr	768.0
tiṭṭhati	pr	ati pr	745.0
suṇāti	pr	āti pr	739.0
dhāreti	pr	eti pr	737.0
vijjati	pr	ati pr	712.0
samanupassati	pr	ati pr	617.0
āgacchati	pr	ati pr	613.0
paññapeti	pr	eti pr	595.0
pucchati	pr	ati pr	575.0
āpajjati	pr	ati pr	575.0
bhuñjati	pr	ati pr	542.0
byākaroti	pr	oti pr	535.0
paññāyati	pr	ati pr	513.0
bhaṇati	pr	ati pr	469.0
nappajānāti	pr	āti pr	462.0
pajahati	pr	ati pr	440.0
sikkhati	pr	ati pr	436.0
samādapeti	pr	eti pr	430.0
khiyyati	pr	ati pr	428.0
nibbindati	pr	ati pr	423.0
ujjhāyati	pr	ati pr	412.0
vipāceti	pr	eti pr	410.0
nirujjhati	pr	ati pr	406.0
uddisati	pr	ati pr	394.0
anussarati	pr	ati pr	356.0
dissati	pr	ati pr	354.0
sameti	pr	eti pr	351.0
paṭisaṃvedeti	pr	eti pr	331.0
pahīyati	pr	ati pr	318.0
upeti	pr	eti pr	312.0
pabbajati	pr	ati pr	310.0
dadāti	pr	āti pr	309.0
ākaṅkhati	pr	ati pr	291.0
jāyati	pr	ati pr	290.0
paṭiggaṇhāti	pr	āti pr	288.0
icchati	pr	ati pr	287.0
kappeti	pr	eti pr	284.0
āroceti	pr	eti pr	283.0
ājānāti	pr	āti pr	282.0
saṃsandati	pr	ati pr	276.0
parihāyati	pr	ati pr	270.0
vimuccati	pr	ati pr	262.0
ceteti	pr	eti pr	253.0
gameti	pr	eti pr	248.0
paripūreti	pr	eti pr	247.0
vāyamati	pr	ati pr	241.0
pakkamati	pr	ati pr	237.0
pariyesati	pr	ati pr	233.0
paṭijānāti	pr	āti pr	232.0
paribhuñjati	pr	ati pr	232.0
chindati	pr	ati pr	230.0
nisīdati	pr	ati pr	229.0
gaṇhāti	pr	āti pr	225.0
vasati	pr	ati pr	223.0
khādati	pr	ati pr	221.0
paṭisañcikkhati	pr	ati pr	218.0
ācikkhati	pr	ati pr	216.0
āmasati	pr	ati pr	212.0
vaḍḍhati	pr	ati pr	204.0
sādiyati	pr	ati pr	198.0
jhāyati	pr	ati pr	196.0
sañjānāti	pr	āti pr	196.0
ārabhati	pr	ati pr	194.0
upasaṅkamati	pr	ati pr	192.0
abhivaḍḍhati	pr	ati pr	192.0
khamati	pr	ati pr	191.0
paṭipajjati	pr	ati pr	190.0
rakkhati	pr	ati pr	190.0
socati	pr	ati pr	185.0
vedayati	pr	ati pr	183.0
vattati	pr	ati pr	182.0
anujānāti	pr	āti pr	182.0
jīvati	pr	ati pr	181.0
assasati	pr	ati pr	180.0
paṭibhāti	pr	āti pr	179.0
viññāpeti	pr	eti pr	177.0
santiṭṭhati	pr	ati pr	175.0
adhivāseti	pr	eti pr	173.0
passasati	pr	ati pr	173.0
pavisati	pr	ati pr	172.0
saṃvijjati	pr	ati pr	165.0
nandati	pr	ati pr	165.0
sakkoti	pr	oti pr	163.0
muccati	pr	ati pr	162.0
janeti	pr	eti pr	160.0
ajjhāvasati	pr	ati pr	159.0
pasavati	pr	ati pr	157.0
vedeti	pr	eti pr	154.0
vandati	pr	ati pr	153.0
namati	pr	ati pr	153.0
samudācarati	pr	ati pr	151.0
parimuccati	pr	ati pr	151.0
paṭinissajjati	pr	ati pr	149.0
pasīdati	pr	ati pr	149.0
arahati	pr	ati pr	149.0
akkhāti	pr	āti pr	149.0
vivarati	pr	ati pr	148.0
pavedeti	pr	eti pr	144.0
haññati	pr	ati pr	141.0
seti	pr	eti pr	140.0
samāpajjati	pr	ati pr	136.0
harati	pr	ati pr	135.0
vijānāti	pr	āti pr	135.0
pivati	pr	ati pr	135.0
phusati	pr	ati pr	134.0
vuṭṭhāpeti	pr	eti pr	133.0
jahāti	pr	āti pr	132.0
