Pāli1	POS	Pattern	count
bhikkhu	masc	u masc	37331.0
tvaṃ	pron	tvaṃ pron	24775.0
ahaṃ	pron	ahaṃ pron	24626.0
hoti	pr	hoti pr	19313.0
bhagavant	masc	ant masc	13582.0
dhamma	masc	a masc	12531.0
viharati	pr	ati pr	5581.0
āyasmant	masc	ant masc	4865.0
brāhmaṇa	masc	a masc	4151.0
samaya	masc	a masc	3913.0
loka	masc	a masc	3778.0
atthi	pr	atthi pr	3596.0
ānanda	masc	a masc	3447.0
kāya	masc	a masc	3281.0
ahosi	aor	ahosi aor	3104.0
gotama	masc	a masc	2818.0
attha	masc	a masc	2769.0
satta	masc	a masc	2714.0
karoti	pr	karoti pr	2597.0
pajānāti	pr	āti pr	2534.0
vadati	pr	ati pr	2432.0
samaṇa	masc	a masc	2218.0
vuccati	pr	ati pr	2195.0
purisa	masc	a masc	2155.0
deva	masc	a masc	2138.0
gacchati	pr	ati pr	2118.0
puggala	masc	a masc	1980.0
bhavissati	fut	issati fut	1910.0
passati	pr	ati pr	1869.0
sāriputta	masc	a masc	1836.0
uppajjati	pr	ati pr	1820.0
natthi	pr	natthi pr	1803.0
jānāti	pr	āti pr	1776.0
gahapati	masc	i masc	1586.0
maññati	pr	ati pr	1527.0
buddha	masc	a masc	1517.0
vadeti	pr	eti pr	1429.0
saṅgha	masc	a masc	1396.0
magga	masc	a masc	1356.0
ariya	masc	a masc	1351.0
hetu	masc	u masc	1334.0
nisīdi	aor	i aor isuṃ	1192.0
bhāveti	pr	eti pr	1174.0
bhava	masc	a masc	1156.0
kāma	masc	a masc	1117.0
deseti	pr	eti pr	1111.0
saṃvattati	pr	ati pr	1107.0
bheda	masc	a masc	1076.0
saṅkhāra	masc	a masc	1013.0
kāla	masc	a masc	1004.0
āsava	masc	a masc	959.0
upapajjati	pr	ati pr	922.0
manussa	masc	a masc	894.0
carati	pr	ati pr	887.0
deti	pr	eti pr	849.0
bhāsati	pr	ati pr	833.0
vaṇṇa	masc	a masc	812.0
sāvaka	masc	a masc	803.0
sakka	masc	a masc	793.0
niraya	masc	a masc	780.0
labhati	pr	ati pr	768.0
āmantesi	aor	esi aor	747.0
tiṭṭhati	pr	ati pr	745.0
ārāma	masc	a masc	745.0
suṇāti	pr	āti pr	739.0
dhāreti	pr	eti pr	737.0
satthar	masc	ar masc	736.0
thera	masc	a masc	722.0
samādhi	masc	i masc	721.0
putta	masc	a masc	716.0
vijjati	pr	ati pr	712.0
paribbājaka	masc	a masc	704.0
ayya	masc	a masc	678.0
paṇḍita	masc	a masc east	654.0
ādīnava	masc	a masc	642.0
upāsaka	masc	a masc	632.0
samanupassati	pr	ati pr	617.0
āgacchati	pr	ati pr	613.0
nirodha	masc	a masc	604.0
chanda	masc	a masc	595.0
paññapeti	pr	eti pr	595.0
paccaya	masc	a masc	579.0
rāga	masc	a masc	578.0
āpajjati	pr	ati pr	575.0
pucchati	pr	ati pr	575.0
pubbe	ind		573.0
māṇava	masc	a masc	571.0
kassapa	masc	a masc	566.0
vihāra	masc	a masc	543.0
bhuñjati	pr	ati pr	542.0
byākaroti	pr	oti pr	535.0
patta	masc	a masc	534.0
udāyī	masc	ī masc	530.0
dosa	masc	a masc	524.0
udapādi	aor	i aor	519.0
sīlavant	adj	ant adj	517.0
khaya	masc	a masc	514.0
paññāyati	pr	ati pr	513.0
pañha	masc	a masc	512.0
nāga	masc	a masc	505.0
māra	masc	a masc	502.0
sagga	masc	a masc	489.0
sadda	masc	a masc	488.0
pāda	masc	a masc	488.0
sugata	masc	a masc	483.0
khattiya	masc	a masc	479.0
pariyāya	masc	a masc	476.0
āyatiṃ	ind		475.0
bhoga	masc	a masc	474.0
bhaṇati	pr	ati pr	469.0
gāma	masc	a masc	468.0
phassa	masc	a masc	467.0
nappajānāti	pr	āti pr	462.0
bāla	masc	a masc east	462.0
karissati	fut	karoti pr	461.0
dāni	ind		458.0
virāga	masc	a masc	449.0
piṇḍa	masc	a masc	448.0
pajahati	pr	ati pr	440.0
rasa	masc	a masc	437.0
moha	masc	a masc	437.0
sikkhati	pr	ati pr	436.0
kosala	masc	a masc	435.0
viññū	masc	ū masc	431.0
samādapeti	pr	eti pr	430.0
khiyyati	pr	ati pr	428.0
anuruddha	masc	a masc	424.0
nibbindati	pr	ati pr	423.0
ujjhāyati	pr	ati pr	412.0
vipāceti	pr	eti pr	410.0
nirujjhati	pr	ati pr	406.0
jana	masc	a masc	396.0
uddisati	pr	ati pr	394.0
vipāka	masc	a masc	388.0
paccassosi	aor	i aor	385.0
satimant	adj	ant adj	380.0
mārisa	masc	a masc	377.0
gandha	masc	a masc	375.0
samudaya	masc	a masc	374.0
accaya	masc	a masc	373.0
pasāda	masc	a masc	371.0
parikkhaya	masc	a masc	370.0
ārocesi	aor	esi aor	357.0
anussarati	pr	ati pr	356.0
dissati	pr	ati pr	354.0
lābha	masc	a masc	351.0
sameti	pr	eti pr	351.0
pāpimant	adj	ant adj	349.0
yadā	ind		343.0
upasampanna	masc	a masc	338.0
aggi	masc	i masc	335.0
paṭisaṃvedeti	pr	eti pr	331.0
kumāra	masc	a masc	331.0
pasenadi	masc	i masc	320.0
garu	masc	u masc	320.0
tāta	masc	a masc	318.0
pahīyati	pr	ati pr	318.0
assāda	masc	a masc	316.0
desessati	fut	ssati fut	315.0
cunda	masc	a masc	314.0
nigaṇṭha	masc	a masc	313.0
upeti	pr	eti pr	312.0
uppāda	masc	a masc	311.0
pabbajati	pr	ati pr	310.0
dadāti	pr	āti pr	309.0
āhari	aor	hari aor	306.0
vāseṭṭha	masc	a masc	300.0
vipassī	masc	ī masc	299.0
moggallāna	masc	a masc	298.0
yakkha	masc	a masc	296.0
vinipāta	masc	a masc	295.0
vinaya	masc	a masc	293.0
vasa	masc	a masc	292.0
ākaṅkhati	pr	ati pr	291.0
jāyati	pr	ati pr	290.0
pabbata	masc	a masc	290.0
paṭiggaṇhāti	pr	āti pr	288.0
icchati	pr	ati pr	287.0
apāya	masc	a masc	286.0
kappeti	pr	eti pr	284.0
āroceti	pr	eti pr	283.0
ājānāti	pr	āti pr	282.0
gāmaṇi	masc	i masc	277.0
saṃsandati	pr	ati pr	276.0
nara	masc	a masc	273.0
parihāyati	pr	ati pr	270.0
vigarahi	aor	i aor	270.0
upakkilesa	masc	a masc	269.0
bhāradvāja	masc	a masc	269.0
pāṇa	masc	a masc	265.0
vimuccati	pr	ati pr	262.0
sammodi	aor	i aor	261.0
āhāra	masc	a masc	260.0
pacchā	ind		258.0
puthujjana	masc	a masc	255.0
hattha	masc	a masc	254.0
ceteti	pr	eti pr	253.0
rāhula	masc	a masc	249.0
gameti	pr	eti pr	248.0
paripūreti	pr	eti pr	247.0
jhāyī	masc	ī masc	241.0
vāyamati	pr	ati pr	241.0
anta	masc	a masc	239.0
rukkha	masc	a masc	239.0
pakkamati	pr	ati pr	237.0
paññavant	adj	ant adj	235.0
pariyesati	pr	ati pr	233.0
paṭijānāti	pr	āti pr	232.0
paribhuñjati	pr	ati pr	232.0
chindati	pr	ati pr	230.0
nisīdati	pr	ati pr	229.0
ajja	ind		226.0
sutavant	adj	ant adj	226.0
adhamma	masc	a masc	226.0
gaṇhāti	pr	āti pr	225.0
pakkāmi	aor	i aor isuṃ	224.0
vaccha	masc	a masc	223.0
vasati	pr	ati pr	223.0
thullaccaya	masc	a masc	222.0
anattha	masc	a masc	222.0
uddesa	masc	a masc	222.0
vadesi	aor	esi aor	222.0
khādati	pr	ati pr	221.0
nigama	masc	a masc	219.0
gihī	masc	ī masc	218.0
āsi	aor	āsi aor irreg	218.0
paṭisañcikkhati	pr	ati pr	218.0
tadā	ind		217.0
ācikkhati	pr	ati pr	216.0
vāda	masc	a masc	214.0
saṃvara	masc	a masc	214.0
anupasampanna	masc	a masc	214.0
adhigama	masc	a masc	214.0
āmasati	pr	ati pr	212.0
vimokkha	masc	a masc	210.0
cakkhumant	adj	ant adj	209.0
sīha	masc	a masc	209.0
mitta	masc	a masc	207.0
vūpasama	masc	a masc	206.0
balavant	adj	ant adj	205.0
vihari	aor	hari aor	205.0
vihāsi	aor	hari aor	205.0
piṇḍapāta	masc	a masc	204.0
vaḍḍhati	pr	ati pr	204.0
pāvisi	aor	i aor	202.0
isi	masc	i masc	201.0
muni	masc	i masc	201.0
nanda	masc	a masc	200.0
ābādha	masc	a masc	200.0
bhāsissati	fut	issati fut	200.0
divasa	masc	a masc	199.0
māsa	masc	a masc	198.0
sādiyati	pr	ati pr	198.0
puṇṇa	masc	a masc	197.0
sañjānāti	pr	āti pr	196.0
jhāyati	pr	ati pr	196.0
ārabhati	pr	ati pr	194.0
viharissati	fut	issati fut	193.0
vāta	masc	a masc	192.0
upasaṅkamati	pr	ati pr	192.0
dhīra	masc	a masc	192.0
abhivaḍḍhati	pr	ati pr	192.0
janapada	masc	a masc	192.0
khamati	pr	ati pr	191.0
ummattaka	masc	a masc	191.0
paṭipajjati	pr	ati pr	190.0
rakkhati	pr	ati pr	190.0
pahoti	pr	hoti pr	189.0
pātubhāva	masc	a masc	185.0
sambodha	masc	a masc	185.0
socati	pr	ati pr	185.0
yoga	masc	a masc	184.0
abhinandi	aor	i aor	184.0
āraññika	masc	a masc	184.0
asuci	masc	i masc	183.0
ākāsa	masc	a masc	183.0
vedayati	pr	ati pr	183.0
pallaṅka	masc	a masc	183.0
anujānāti	pr	āti pr	182.0
vattati	pr	ati pr	182.0
gamissati	fut	issati fut	182.0
kaccāna	masc	a masc	182.0
jīvati	pr	ati pr	181.0
assasati	pr	ati pr	180.0
pamāda	masc	a masc	179.0
paṭibhāti	pr	āti pr	179.0
vassa	masc	a masc	178.0
byāpāda	masc	a masc	178.0
viññāpeti	pr	eti pr	177.0
sāmika	masc	a masc	176.0
santiṭṭhati	pr	ati pr	175.0
nīvaraṇa	masc	a masc	174.0
cora	masc	a masc	174.0
passasati	pr	ati pr	173.0
adhivāseti	pr	eti pr	173.0
ānisaṃsa	masc	a masc	172.0
ambaṭṭha	masc	a masc	172.0
sabbāvant	adj	ant adj	172.0
pavisati	pr	ati pr	172.0
vitakka	masc	a masc	171.0
gaṇa	masc	a masc	171.0
tapassī	masc	ī masc	170.0
yañña	masc	a masc	167.0
nandati	pr	ati pr	165.0
appamāda	masc	a masc	165.0
saṃvijjati	pr	ati pr	165.0
sukhī	masc	ī masc	164.0
sakkoti	pr	oti pr	163.0
upāli	masc	i masc	163.0
muccati	pr	ati pr	162.0
sekha	masc	a masc	161.0
asappurisa	masc	a masc	161.0
janeti	pr	eti pr	160.0
ajjhāvasati	pr	ati pr	159.0
cāga	masc	a masc	159.0
sunakkhatta	masc	a masc	158.0
nigrodha	masc	a masc	157.0
pasavati	pr	ati pr	157.0
ajjatagge	ind		156.0
danta	masc	a masc	156.0
ñāti	masc	i masc	156.0
vedeti	pr	eti pr	154.0
namati	pr	ati pr	153.0
vandati	pr	ati pr	153.0
uposatha	masc	a masc	152.0
paṭinissagga	masc	a masc	152.0
vagga	masc	a masc	151.0
parimuccati	pr	ati pr	151.0
samudācarati	pr	ati pr	151.0
samatikkama	masc	a masc	151.0
licchavi	masc	i masc	150.0
akkhāti	pr	āti pr	149.0
kodha	masc	a masc	149.0
arahati	pr	ati pr	149.0
paṭinissajjati	pr	ati pr	149.0
assutavant	adj	ant adj	149.0
pasīdati	pr	ati pr	149.0
dassati	fut	ssati fut	148.0
samāpajji	aor	i aor	148.0
vivarati	pr	ati pr	148.0
thapati	masc	i masc	147.0
pāṇi	masc	i masc	146.0
pāṇī	masc	ī masc	145.0
pavedeti	pr	eti pr	144.0
sena	masc	a masc	143.0
bhiyyobhāva	masc	a masc	142.0
haññati	pr	ati pr	141.0
rādha	masc	a masc	141.0
seti	pr	eti pr	140.0
maṇi	masc	i masc	140.0
rājañña	masc	a masc	140.0
soka	masc	a masc	137.0
yāma	masc	a masc	136.0
samāpajjati	pr	ati pr	136.0
harati	pr	ati pr	135.0
vijānāti	pr	āti pr	135.0
pivati	pr	ati pr	135.0
phusati	pr	ati pr	134.0
sārathi	masc	i masc	134.0
upasama	masc	a masc	134.0
vuṭṭhāpeti	pr	eti pr	133.0
kālāma	masc	a masc	132.0
khandha	masc	a masc	132.0
jahāti	pr	āti pr	132.0
sāra	masc	a masc	131.0
sadā	ind		130.0
medhāvī	masc	ī masc	130.0
hatthī	masc	ī masc	130.0
phāsu	masc	u masc	129.0
udānesi	aor	esi aor	125.0
dakkhati	fut	ati fut	125.0
assasissati	fut	issati fut	119.0
ṭhassati	fut	ssati fut	118.0
passasissati	fut	issati fut	117.0
mātalī	masc	ī masc	104.0
bhāsitar	masc	ar masc	103.0
vattar	masc	ar masc	99.0
lokavidū	masc	ū masc	96.0
sāyaṃ	ind		94.0
idāni	ind		93.0
paññāyissati	fut	issati fut	90.0
bhattar	masc	ar masc	83.0
vakkhati	fut	ati fut	81.0
byākarissati	fut	issati fut	80.0
carissati	fut	issati fut	80.0
maccu	masc	u masc	78.0
dhāressati	fut	ssati fut	75.0
adhivāsesi	aor	esi aor	68.0
dātar	masc	ar masc	62.0
bhāvessati	fut	ssati fut	62.0
kattar	masc	ar masc	62.0
brahmāyu	masc	u masc	61.0
pāragū	masc	ū masc	60.0
abhibhū	masc	ū masc	60.0
samādapesi	aor	esi aor	57.0
ñassati	fut	ssati fut	56.0
akkhātar	masc	ar masc	55.0
pavedesi	aor	esi aor	54.0
bhaṇissati	fut	issati fut	52.0
pāto	ind		51.0
kadā	ind		51.0
aggahesi	aor	esi aor	50.0
pakkamissati	fut	issati fut	50.0
mantar	masc	ar masc	50.0
vedagū	masc	ū masc	49.0
sandassesi	aor	esi aor	49.0
upādiyissati	fut	issati fut	48.0
kāhati	fut	ati fut	46.0
jānissati	fut	issati fut	46.0
samuttejesi	aor	esi aor	46.0
nhāru	masc	u masc	45.0
bhuñjissati	fut	issati fut	45.0
parinibbāyissati	fut	issati fut	43.0
vidū	masc	ū masc	41.0
ajjhāvasatar	masc	ar masc	39.0
kuru	masc	u masc	39.0
paṃsu	masc	u masc	38.0
pasu	masc	u masc	34.0
ekadā	ind		33.0
sotar	masc	ar masc	33.0
suve	ind		30.0
susu	masc	u masc	28.0
sattu	masc	u masc	26.0
purā	ind		23.0
atippago	ind		22.0
