headword	count
bhikkhu	37331.0
hetu	1334.0
garu	320.0
phāsu	129.0
ajātasattu	92.0
hu	91.0
maccu	78.0
brahmāyu	61.0
pāpabhikkhu	57.0
nhāru	45.0
agaru	39.0
reṇu	39.0
kuru	39.0
paṃsu	38.0
pasu	34.0
ekabhikkhu	28.0
susu	28.0
sattu	26.0
aviddasu	25.0
leḍḍu	24.0
ahetu	24.0
bhagu	23.0
aṇu	23.0
sineru	22.0
bāhu	22.0
usu	18.0
rāhu	18.0
ūru	17.0
maṅku	16.0
phaggu	15.0
aphāsu	14.0
ādiccabandhu	14.0
takkahetu	12.0
nayahetu	12.0
bhūnahu	11.0
viddasu	11.0
veḷu	11.0
nahāru	10.0
ucchu	9.0
bandhu	9.0
brahmabandhu	9.0
ayosaṅku	9.0
kamaṇḍalu	8.0
tharu	7.0
milakkhu	7.0
khāṇu	6.0
setu	6.0
ruru	6.0
kappāsapicu	6.0
mittaddu	6.0
