headword	count
kī	3398.0
udāyī	530.0
diṭṭhī	432.0
sabrahmacārī	388.0
vipassī	299.0
yānī	298.0
gāmaṇī	277.0
jhāyī	241.0
cakkavattī	233.0
gihī	218.0
tapassī	170.0
sukhī	164.0
dhammī	158.0
pāṇī	145.0
kāmabhogī	139.0
sārathī	134.0
medhāvī	130.0
hatthī	130.0
brahmacārī	124.0
dehī	121.0
mātalī	104.0
muṭṭhassatī	95.0
purisadammasārathī	94.0
pakkhī	87.0
vasī	85.0
mahesī	84.0
dhammacārī	79.0
arūpī	74.0
maccharī	66.0
samacārī	64.0
adhammacārī	63.0
visamacārī	59.0
vasavattī	51.0
sikhī	51.0
māyāvī	50.0
paranimmitavasavattī	50.0
jāṇussoṇī	48.0
sakkhī	45.0
bhāgī	42.0
caṅkī	40.0
gavesī	39.0
antevāsī	39.0
kalī	37.0
kevalī	37.0
jālī	37.0
dīghatapassī	36.0
sirī	36.0
atithī	36.0
kārī	35.0
jī	34.0
