sentence	count
yena bhagavā tenupasaṅkami upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ nisīdi	440
bhagavā tenupasaṅkami upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ nisīdi ekamantaṃ	426
tenupasaṅkami upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinna	425
upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinna kho	423
sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena kho pana	370
viharati jetavane anāthapiṇḍikassa ārāme tena kho pana samayena	370
viharati jetavana anāthapiṇḍika ārāma tena kho pana samaya	370
sāvatthī viharati jetavana anāthapiṇḍika ārāma tena kho pana	370
bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena kho	366
bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma tena kho	366
yena bhagavā tenupasaṅkami upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ nisīdi	340
bhagavā tenupasaṅkami upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ nisīdi ekamantaṃ	330
tena samayena buddho bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa	287
samayena buddho bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme	287
samaya buddha bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma	287
tena samaya buddha bhagavā sāvatthī viharati jetavana anāthapiṇḍika	287
buddho bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena	285
buddha bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma tena	285
kāyassa bhedā paraṃ maraṇā apāyaṃ duggatiṃ vinipātaṃ nirayaṃ	260
kāya bheda paraṃ maraṇa apāyaṃ duggati vinipāta niraya	260
saccaṃ bhagavāti vigarahi buddho bhagavā pe kathañhi nāma	253
saccaṃ bhagavāti vigarahi buddha bhagavā pe kathañhi nāma	253
tenupasaṅkami upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinno	237
upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinno kho	236
eka samaya bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma	227
ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme	226
saddhiṃ sammodi sammodanīya kathaṃ sāraṇīya vītisāretvā ekamantaṃ nisīdi	226
evaṃ me sutaṃ eka samaya bhagavā sāvatthī viharati	199
evaṃ me sutaṃ ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati	198
sammodanīya kathaṃ sāraṇīya vītisāretvā ekamantaṃ nisīdi ekamantaṃ nisinna	198
sammodi sammodanīya kathaṃ sāraṇīya vītisāretvā ekamantaṃ nisīdi ekamantaṃ	198
kathaṃ sāraṇīya vītisāretvā ekamantaṃ nisīdi ekamantaṃ nisinna kho	198
khīṇā jāti vusitaṃ brahmacariyaṃ kataṃ karaṇīyaṃ nāparaṃ itthattāyāti	196
khīṇa jāti vusita brahmacariyaṃ kata karaṇīya nāpara itthattāyāti	196
kāya bheda paraṃ maraṇa sugatiṃ sagga loka upapajjati	182
sutaṃ eka samaya bhagavā sāvatthī viharati jetavana anāthapiṇḍika	180
me sutaṃ eka samaya bhagavā sāvatthī viharati jetavana	180
sutaṃ ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa	179
me sutaṃ ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane	179
bheda paraṃ maraṇa apāyaṃ duggati vinipāta niraya upapajjati	172
cetovimuttiṃ paññāvimuttiṃ diṭṭheva dhamme sayaṃ abhiññā sacchikatvā upasampajja	171
cetovimutti paññāvimutti diṭṭheva dhamma sayaṃ abhiññā sacchikatvā upasampajja	171
anāsavaṃ cetovimuttiṃ paññāvimuttiṃ diṭṭheva dhamme sayaṃ abhiññā sacchikatvā	170
anāsava cetovimutti paññāvimutti diṭṭheva dhamma sayaṃ abhiññā sacchikatvā	170
khayā anāsavaṃ cetovimuttiṃ paññāvimuttiṃ diṭṭheva dhamme sayaṃ abhiññā	169
khaya anāsava cetovimutti paññāvimutti diṭṭheva dhamma sayaṃ abhiññā	169
saddhiṃ sammodi sammodanīyaṃ kathaṃ sāraṇīyaṃ vītisāretvā ekamantaṃ nisīdi	166
sammodi sammodanīyaṃ kathaṃ sāraṇīyaṃ vītisāretvā ekamantaṃ nisīdi ekamantaṃ	158
āsavānaṃ khayā anāsavaṃ cetovimuttiṃ paññāvimuttiṃ diṭṭheva dhamme sayaṃ	149
āsava khaya anāsava cetovimutti paññāvimutti diṭṭheva dhamma sayaṃ	149
uppajjati vedayitaṃ sukhaṃ vā dukkhaṃ vā adukkhamasukhaṃ vā	139
vā pasādāya pe evañca pana bhikkhave imaṃ sikkhāpadaṃ	139
pasādāya pe evañca pana bhikkhave imaṃ sikkhāpadaṃ uddiseyyātha	139
appasannānaṃ vā pasādāya pe evañca pana bhikkhave imaṃ	139
vā pasāda pe evañca pana bhikkhave imaṃ sikkhāpada	139
uppajjati vedayita sukhaṃ vā dukkhaṃ vā adukkhamasukha vā	139
appasanna vā pasāda pe evañca pana bhikkhave imaṃ	139
pasāda pe evañca pana bhikkhave imaṃ sikkhāpada uddisati	139
bhikkhave appasannānaṃ vā pasādāya pe evañca pana bhikkhave	138
netaṃ bhikkhave appasannānaṃ vā pasādāya pe evañca pana	138
bhikkhave appasanna vā pasāda pe evañca pana bhikkhave	138
netaṃ bhikkhave appasanna vā pasāda pe evañca pana	138
sammodanīyaṃ kathaṃ sāraṇīyaṃ vītisāretvā ekamantaṃ nisīdi ekamantaṃ nisinno	135
kathaṃ sāraṇīyaṃ vītisāretvā ekamantaṃ nisīdi ekamantaṃ nisinno kho	135
bhagavant abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinna kho āyasmā	132
ye te bhikkhū appicchā pe te ujjhāyanti khiyyanti	130
te bhikkhū appicchā pe te ujjhāyanti khiyyanti vipācenti	130
te bhikkhū appiccha pe te ujjhāyanti khiyyanti vipācenti	130
ye te bhikkhū appiccha pe te ujjhāyanti khiyyanti	130
bhikkhū appicchā pe te ujjhāyanti khiyyanti vipācenti kathañhi	129
appicchā pe te ujjhāyanti khiyyanti vipācenti kathañhi nāma	129
evañca pana bhikkhave imaṃ sikkhāpadaṃ uddiseyyātha yo pana	129
mama nesohamasmi na meso attāti evametaṃ yathābhūtaṃ sammappaññāya	129
