5 words	count
ekamantaṃ nisīdi ekamantaṃ nisinna kho	787
yena bhagavā tenupasaṅkami upasaṅkamitvā bhagavant	572
sāvatthī viharati jetavana anāthapiṇḍika ārāma	535
sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme	535
abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinna	528
bhagavā tenupasaṅkami upasaṅkamitvā bhagavant abhivādetvā	521
bhagavā sāvatthī viharati jetavana anāthapiṇḍika	519
bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa	519
tenupasaṅkami upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ	518
evaṃ me sutaṃ eka samaya	453
evaṃ me sutaṃ ekaṃ samayaṃ	450
upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ nisīdi	442
yena bhagavā tenupasaṅkami upasaṅkamitvā bhagavantaṃ	441
ekamantaṃ nisīdi ekamantaṃ nisinno kho	438
bhagavant abhivādetvā ekamantaṃ nisīdi ekamantaṃ	437
me sutaṃ eka samaya bhagavā	425
me sutaṃ ekaṃ samayaṃ bhagavā	422
tenupasaṅkami upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ	397
bhagavā tenupasaṅkami upasaṅkamitvā bhagavantaṃ abhivādetvā	397
ārāma tena kho pana samaya	372
ārāme tena kho pana samayena	372
jetavana anāthapiṇḍika ārāma tena kho	370
anāthapiṇḍika ārāma tena kho pana	370
viharati jetavana anāthapiṇḍika ārāma tena	370
viharati jetavane anāthapiṇḍikassa ārāme tena	370
jetavane anāthapiṇḍikassa ārāme tena kho	370
anāthapiṇḍikassa ārāme tena kho pana	370
dhamma sayaṃ abhiññā sacchikatvā upasampajja	365
upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ nisīdi	342
tena kho pana samaya aññatara	341
ujjhāyanti khiyyanti vipācenti kathañhi nāma	341
ujjhāyanti khiyyanti vipācenti kathañhi nāma	341
bhagavantaṃ abhivādetvā ekamantaṃ nisīdi ekamantaṃ	338
kāya bheda paraṃ maraṇa sugatiṃ	305
kāyassa bhedā paraṃ maraṇā sugatiṃ	305
bheda paraṃ maraṇa sugatiṃ sagga	301
paraṃ maraṇa sugatiṃ sagga loka	301
paraṃ maraṇā sugatiṃ saggaṃ lokaṃ	301
dhamme sayaṃ abhiññā sacchikatvā upasampajja	301
bhedā paraṃ maraṇā sugatiṃ saggaṃ	301
diṭṭheva dhamma sayaṃ abhiññā sacchikatvā	300
