4 words	count
tena kho pana samaya	1340
tena kho pana samayena	1340
kāya bheda paraṃ maraṇa	875
kāyassa bhedā paraṃ maraṇā	875
ekamantaṃ nisīdi ekamantaṃ nisinna	789
nisīdi ekamantaṃ nisinna kho	787
yena bhagavā tenupasaṅkami upasaṅkamitvā	756
sī syā kaṃ pī	752
sī syā kaṃ pī	752
yena bhagavā tenupasaṅkami upasaṅkamitvā	592
bhagavā tenupasaṅkami upasaṅkamitvā bhagavant	572
samaṇa vā brāhmaṇa vā	537
sāvatthī viharati jetavana anāthapiṇḍika	537
sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa	537
viharati jetavana anāthapiṇḍika ārāma	535
viharati jetavane anāthapiṇḍikassa ārāme	535
abhivādetvā ekamantaṃ nisīdi ekamantaṃ	529
tenupasaṅkami upasaṅkamitvā bhagavant abhivādetvā	523
bhagavā sāvatthī viharati jetavana	521
bhagavā sāvatthiyaṃ viharati jetavane	521
upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ	518
upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ	518
bhagavant abhivādetvā ekamantaṃ nisīdi	470
me sutaṃ eka samaya	453
evaṃ me sutaṃ eka	453
evaṃ me sutaṃ ekaṃ	450
me sutaṃ ekaṃ samayaṃ	450
bhagavā tenupasaṅkami upasaṅkamitvā bhagavantaṃ	441
ekamantaṃ nisīdi ekamantaṃ nisinno	439
nisīdi ekamantaṃ nisinno kho	438
sutaṃ eka samaya bhagavā	425
sutaṃ ekaṃ samayaṃ bhagavā	422
abhivādetvā ekamantaṃ nisīdi ekamantaṃ	415
sayaṃ abhiññā sacchikatvā upasampajja	414
sayaṃ abhiññā sacchikatvā upasampajja	414
tenupasaṅkami upasaṅkamitvā bhagavantaṃ abhivādetvā	399
ārāma tena kho pana	372
ārāme tena kho pana	372
dhamma sayaṃ abhiññā sacchikatvā	371
jetavana anāthapiṇḍika ārāma tena	370
anāthapiṇḍika ārāma tena kho	370
anāthapiṇḍikassa ārāme tena kho	370
jetavane anāthapiṇḍikassa ārāme tena	370
bhagavantaṃ abhivādetvā ekamantaṃ nisīdi	354
tena samaya buddha bhagavā	344
tena samayena buddho bhagavā	344
khiyyanti vipācenti kathañhi nāma	342
khiyyanti vipācenti kathañhi nāma	342
ujjhāyanti khiyyanti vipācenti kathañhi	341
kho pana samaya aññatara	341
ujjhāyanti khiyyanti vipācenti kathañhi	341
bheda paraṃ maraṇa sugatiṃ	305
bhedā paraṃ maraṇā sugatiṃ	305
paraṃ maraṇa sugatiṃ sagga	301
maraṇa sugatiṃ sagga loka	301
dhamme sayaṃ abhiññā sacchikatvā	301
maraṇā sugatiṃ saggaṃ lokaṃ	301
paraṃ maraṇā sugatiṃ saggaṃ	301
diṭṭheva dhamma sayaṃ abhiññā	300
diṭṭheva dhamme sayaṃ abhiññā	300
samaya buddha bhagavā sāvatthī	288
