sentence	count
yena bhagavā tenupasaṅkami upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ nisīdi ekamantaṃ	426
bhagavā tenupasaṅkami upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinna	425
tenupasaṅkami upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinna kho	423
sāvatthī viharati jetavana anāthapiṇḍika ārāma tena kho pana samaya	370
sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena kho pana samayena	370
bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma tena kho pana	366
bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena kho pana	366
yena bhagavā tenupasaṅkami upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ nisīdi ekamantaṃ	330
tena samaya buddha bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma	287
tena samayena buddho bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme	287
buddha bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma tena kho	285
samaya buddha bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma tena	285
samayena buddho bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena	285
buddho bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena kho	285
bhagavā tenupasaṅkami upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinno	237
tenupasaṅkami upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinno kho	236
saddhiṃ sammodi sammodanīya kathaṃ sāraṇīya vītisāretvā ekamantaṃ nisīdi ekamantaṃ	198
sammodanīya kathaṃ sāraṇīya vītisāretvā ekamantaṃ nisīdi ekamantaṃ nisinna kho	198
sammodi sammodanīya kathaṃ sāraṇīya vītisāretvā ekamantaṃ nisīdi ekamantaṃ nisinna	198
me sutaṃ eka samaya bhagavā sāvatthī viharati jetavana anāthapiṇḍika	180
evaṃ me sutaṃ eka samaya bhagavā sāvatthī viharati jetavana	180
sutaṃ eka samaya bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma	180
sutaṃ ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme	179
me sutaṃ ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa	179
evaṃ me sutaṃ ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane	179
kāya bheda paraṃ maraṇa apāyaṃ duggati vinipāta niraya upapajjati	172
anāsava cetovimutti paññāvimutti diṭṭheva dhamma sayaṃ abhiññā sacchikatvā upasampajja	170
anāsavaṃ cetovimuttiṃ paññāvimuttiṃ diṭṭheva dhamme sayaṃ abhiññā sacchikatvā upasampajja	170
khaya anāsava cetovimutti paññāvimutti diṭṭheva dhamma sayaṃ abhiññā sacchikatvā	169
khayā anāsavaṃ cetovimuttiṃ paññāvimuttiṃ diṭṭheva dhamme sayaṃ abhiññā sacchikatvā	169
saddhiṃ sammodi sammodanīyaṃ kathaṃ sāraṇīyaṃ vītisāretvā ekamantaṃ nisīdi ekamantaṃ	158
āsava khaya anāsava cetovimutti paññāvimutti diṭṭheva dhamma sayaṃ abhiññā	149
āsavānaṃ khayā anāsavaṃ cetovimuttiṃ paññāvimuttiṃ diṭṭheva dhamme sayaṃ abhiññā	149
vā pasāda pe evañca pana bhikkhave imaṃ sikkhāpada uddisati	139
appasanna vā pasāda pe evañca pana bhikkhave imaṃ sikkhāpada	139
vā pasādāya pe evañca pana bhikkhave imaṃ sikkhāpadaṃ uddiseyyātha	139
appasannānaṃ vā pasādāya pe evañca pana bhikkhave imaṃ sikkhāpadaṃ	139
netaṃ bhikkhave appasanna vā pasāda pe evañca pana bhikkhave	138
netaṃ bhikkhave appasannānaṃ vā pasādāya pe evañca pana bhikkhave	138
sammodi sammodanīyaṃ kathaṃ sāraṇīyaṃ vītisāretvā ekamantaṃ nisīdi ekamantaṃ nisinno	135
sammodanīyaṃ kathaṃ sāraṇīyaṃ vītisāretvā ekamantaṃ nisīdi ekamantaṃ nisinno kho	135
upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinna kho āyasmā	132
ye te bhikkhū appiccha pe te ujjhāyanti khiyyanti vipācenti	130
ye te bhikkhū appicchā pe te ujjhāyanti khiyyanti vipācenti	130
netaṃ mama nesohamasmi na meso attāti evametaṃ yathābhūtaṃ sammappaññāya	129
te bhikkhū appiccha pe te ujjhāyanti khiyyanti vipācenti kathañhi	129
bhikkhū appiccha pe te ujjhāyanti khiyyanti vipācenti kathañhi nāma	129
te bhikkhū appicchā pe te ujjhāyanti khiyyanti vipācenti kathañhi	129
netaṃ mama nesohamasmi na meso attāti evametaṃ yathābhūtaṃ sammappaññāya	129
bhikkhū appicchā pe te ujjhāyanti khiyyanti vipācenti kathañhi nāma	129
evañca pana bhikkhave imaṃ sikkhāpada uddisati yo pana bhikkhu	128
evañca pana bhikkhave imaṃ sikkhāpadaṃ uddiseyyātha yo pana bhikkhu	128
saccaṃ bhagavāti vigarahi buddha bhagavā pe kathañhi nāma bhikkhave	124
saccaṃ bhagavāti vigarahi buddho bhagavā pe kathañhi nāma bhikkhave	124
evañca pana bhikkhave bhikkhunī imaṃ sikkhāpada uddisati yā pana	123
pana bhikkhave bhikkhunī imaṃ sikkhāpada uddisati yā pana bhikkhunī	123
evañca pana bhikkhave bhikkhuniyo imaṃ sikkhāpadaṃ uddisantu yā pana	123
upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinno kho āyasmā	122
pana bhikkhave bhikkhuniyo imaṃ sikkhāpadaṃ uddisantu yā pana bhikkhunī	121
bhikkhave appasanna vā pasāda pe evañca pana bhikkhave bhikkhunī	116
appasanna vā pasāda pe evañca pana bhikkhave bhikkhunī imaṃ	116
pasāda pe evañca pana bhikkhave bhikkhunī imaṃ sikkhāpada uddisati	116
vā pasāda pe evañca pana bhikkhave bhikkhunī imaṃ sikkhāpada	116
pasādāya pe evañca pana bhikkhave bhikkhuniyo imaṃ sikkhāpadaṃ uddisantu	116
appasannānaṃ vā pasādāya pe evañca pana bhikkhave bhikkhuniyo imaṃ	116
bhikkhave appasannānaṃ vā pasādāya pe evañca pana bhikkhave bhikkhuniyo	116
vā pasādāya pe evañca pana bhikkhave bhikkhuniyo imaṃ sikkhāpadaṃ	116
pe evañca pana bhikkhave bhikkhunī imaṃ sikkhāpada uddisati yā	115
