7 words	count
yena bhagavā tenupasaṅkami upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ	516
bhagavā tenupasaṅkami upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ nisīdi	440
bhagavant abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinna kho	434
tenupasaṅkami upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ nisīdi ekamantaṃ	426
upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinna	425
yena bhagavā tenupasaṅkami upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ	395
sāvatthī viharati jetavana anāthapiṇḍika ārāma tena kho	370
jetavana anāthapiṇḍika ārāma tena kho pana samaya	370
viharati jetavana anāthapiṇḍika ārāma tena kho pana	370
viharati jetavane anāthapiṇḍikassa ārāme tena kho pana	370
sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena kho	370
jetavane anāthapiṇḍikassa ārāme tena kho pana samayena	370
bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma tena	366
bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena	366
bhagavā tenupasaṅkami upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ nisīdi	340
tenupasaṅkami upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ nisīdi ekamantaṃ	330
kāya bheda paraṃ maraṇa sugatiṃ sagga loka	301
kāyassa bhedā paraṃ maraṇā sugatiṃ saggaṃ lokaṃ	301
tena samaya buddha bhagavā sāvatthī viharati jetavana	288
tena samayena buddho bhagavā sāvatthiyaṃ viharati jetavane	288
buddha bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma	287
samaya buddha bhagavā sāvatthī viharati jetavana anāthapiṇḍika	287
samayena buddho bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa	287
buddho bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme	287
bheda paraṃ maraṇa apāyaṃ duggati vinipāta niraya	260
kāya bheda paraṃ maraṇa apāyaṃ duggati vinipāta	260
bhedā paraṃ maraṇā apāyaṃ duggatiṃ vinipātaṃ nirayaṃ	260
kāyassa bhedā paraṃ maraṇā apāyaṃ duggatiṃ vinipātaṃ	260
appasanna vā pasāda pe evañca pana bhikkhave	255
bhagavāti vigarahi buddha bhagavā pe kathañhi nāma	255
appasannānaṃ vā pasādāya pe evañca pana bhikkhave	255
bhagavāti vigarahi buddho bhagavā pe kathañhi nāma	255
saccaṃ bhagavāti vigarahi buddha bhagavā pe kathañhi	253
saccaṃ bhagavāti vigarahi buddho bhagavā pe kathañhi	253
viharati ātāpī sampajāna satimant vineyya loka abhijjhādomanassa	242
saddhiṃ sammodi sammodanīya kathaṃ sāraṇīya vītisāretvā ekamantaṃ	240
upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinno	237
bhagavantaṃ abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinno kho	236
samaya bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma	228
eka samaya bhagavā sāvatthī viharati jetavana anāthapiṇḍika	227
samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme	227
sammodi sammodanīya kathaṃ sāraṇīya vītisāretvā ekamantaṃ nisīdi	226
ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa	226
