sentence	count
abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinna kho	526
yena bhagavā tenupasaṅkami upasaṅkamitvā bhagavant abhivādetvā	521
bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma	519
bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme	519
bhagavā tenupasaṅkami upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ	516
tenupasaṅkami upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ nisīdi	442
bhagavant abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinna	436
upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ nisīdi ekamantaṃ	426
evaṃ me sutaṃ eka samaya bhagavā	425
evaṃ me sutaṃ ekaṃ samayaṃ bhagavā	422
yena bhagavā tenupasaṅkami upasaṅkamitvā bhagavantaṃ abhivādetvā	397
bhagavā tenupasaṅkami upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ	395
viharati jetavana anāthapiṇḍika ārāma tena kho	370
anāthapiṇḍika ārāma tena kho pana samaya	370
sāvatthī viharati jetavana anāthapiṇḍika ārāma tena	370
jetavana anāthapiṇḍika ārāma tena kho pana	370
viharati jetavane anāthapiṇḍikassa ārāme tena kho	370
sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena	370
jetavane anāthapiṇḍikassa ārāme tena kho pana	370
anāthapiṇḍikassa ārāme tena kho pana samayena	370
tenupasaṅkami upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ nisīdi	342
upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ nisīdi ekamantaṃ	330
bheda paraṃ maraṇa sugatiṃ sagga loka	301
kāya bheda paraṃ maraṇa sugatiṃ sagga	301
kāyassa bhedā paraṃ maraṇā sugatiṃ saggaṃ	301
bhedā paraṃ maraṇā sugatiṃ saggaṃ lokaṃ	301
diṭṭheva dhamma sayaṃ abhiññā sacchikatvā upasampajja	300
diṭṭheva dhamme sayaṃ abhiññā sacchikatvā upasampajja	300
tena samaya buddha bhagavā sāvatthī viharati	288
samaya buddha bhagavā sāvatthī viharati jetavana	288
samayena buddho bhagavā sāvatthiyaṃ viharati jetavane	288
tena samayena buddho bhagavā sāvatthiyaṃ viharati	288
buddha bhagavā sāvatthī viharati jetavana anāthapiṇḍika	287
buddho bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa	287
abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinno kho	278
bheda paraṃ maraṇa apāyaṃ duggati vinipāta	260
paraṃ maraṇa apāyaṃ duggati vinipāta niraya	260
kāya bheda paraṃ maraṇa apāyaṃ duggati	260
paraṃ maraṇā apāyaṃ duggatiṃ vinipātaṃ nirayaṃ	260
kāyassa bhedā paraṃ maraṇā apāyaṃ duggatiṃ	260
bhedā paraṃ maraṇā apāyaṃ duggatiṃ vinipātaṃ	260
vigarahi buddha bhagavā pe kathañhi nāma	256
vigarahi buddho bhagavā pe kathañhi nāma	256
vā pasāda pe evañca pana bhikkhave	255
appasanna vā pasāda pe evañca pana	255
bhagavāti vigarahi buddha bhagavā pe kathañhi	255
bhagavāti vigarahi buddho bhagavā pe kathañhi	255
vā pasādāya pe evañca pana bhikkhave	255
appasannānaṃ vā pasādāya pe evañca pana	255
saccaṃ bhagavāti vigarahi buddha bhagavā pe	254
saccaṃ bhagavāti vigarahi buddho bhagavā pe	254
viharati ātāpī sampajāna satimant vineyya loka	248
saddhiṃ sammodi sammodanīya kathaṃ sāraṇīya vītisāretvā	246
ātāpī sampajāna satimant vineyya loka abhijjhādomanassa	242
sammodi sammodanīya kathaṃ sāraṇīya vītisāretvā ekamantaṃ	240
