sentence	count
yena bhagavā tenupasaṅkami upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinna	425
bhagavā tenupasaṅkami upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinna kho	423
bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma tena kho pana samaya	366
bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena kho pana samayena	366
samaya buddha bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma tena kho	285
tena samaya buddha bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma tena	285
buddha bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma tena kho pana	285
tena samayena buddho bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena	285
buddho bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena kho pana	285
samayena buddho bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena kho	285
yena bhagavā tenupasaṅkami upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinno	237
bhagavā tenupasaṅkami upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinno kho	236
saddhiṃ sammodi sammodanīya kathaṃ sāraṇīya vītisāretvā ekamantaṃ nisīdi ekamantaṃ nisinna	198
sammodi sammodanīya kathaṃ sāraṇīya vītisāretvā ekamantaṃ nisīdi ekamantaṃ nisinna kho	198
evaṃ me sutaṃ eka samaya bhagavā sāvatthī viharati jetavana anāthapiṇḍika	180
me sutaṃ eka samaya bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma	180
evaṃ me sutaṃ ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa	179
me sutaṃ ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme	179
