"Pāli1"	"POS"	"Grammar"	"Pāli Root"	"Pattern"	"count"	"found"
"ta"	"pron"	"until-then"	""	"ta pron"	"47741"	"{'so': 9288, 'te': 9023, 'taṃ': 10582, 'tassa': 4698, 'tena': 3841, 'tesaṃ': 1561, 'sā': 1449, 'naṃ': 1005, 'tasmiṃ': 941, 'tasmā': 1196, 'tā': 722, 'tāni': 541, 'sa': 350, 'tassā': 399, 'tāya': 296, 'tamhā': 210, 'tehi': 184, 'tesu': 165, 'nesaṃ': 151, 'tāyaṃ': 131, 'tāsaṃ': 121, 'nāyaṃ': 104, 'tamhi': 57, 'se': 40, 'ne': 31, 'tāsu': 29, 'tāhi': 27, 'tassaṃ': 26, 'namhi': 15, 'tissaṃ': 11, 'tāyo': 8, 'nassa': 27, 'nehi': 5, 'nāsaṃ': 3, 'tissā': 3, 'ta': 81, 'nā': 1, 'tissāya': 1, 'tasānaṃ': 1, 'tad': 382, 'tassāya': 35}"
"bhikkhu"	"masc"	""	"√bhikkh 1 (beg)"	"u masc"	"37331"	"{'bhikkhave': 21771, 'bhikkhu': 7867, 'bhikkhū': 3783, 'bhikkhuno': 1397, 'bhikkhuṃ': 699, 'bhikkhūnaṃ': 665, 'bhikkhunā': 567, 'bhikkhūhi': 205, 'bhikkhussa': 150, 'bhikkhūsu': 61, 'bhikkhavo': 152, 'bhikkhunaṃ': 6, 'bhikkhusu': 4, 'bhikkhumhi': 2, 'bhikkhusmiṃ': 1, 'bhikkhuto': 1}"
"ca"	"ind"	"conj"	""	""	"32306"	"{'ca': 32306}"
"iti"	"ind"	"pure"	""	""	"27188"	"{'iti': 27188}"
"kho"	"ind"	"pure"	""	""	"26308"	"{'kho': 26308}"
"ima"	"pron"	""	""	"ima pron"	"25877"	"{'ayaṃ': 6298, 'idaṃ': 5805, 'ime': 2818, 'imaṃ': 1860, 'imehi': 809, 'assa': 2626, 'imesaṃ': 718, 'imasmiṃ': 701, 'imāni': 822, 'iminā': 689, 'imassa': 575, 'imā': 556, 'ehi': 247, 'imesu': 124, 'assaṃ': 128, 'imāya': 94, 'imāsaṃ': 107, 'asmiṃ': 67, 'imissā': 57, 'assā': 233, 'imāhi': 31, 'imasmā': 30, 'imamhā': 28, 'asmā': 86, 'imamhi': 12, 'āsaṃ': 9, 'imāsu': 7, 'imāyo': 4, 'esaṃ': 3, 'imissaṃ': 2, 'amhā': 18, 'esu': 1, 'amhi': 253, 'aminā': 32, 'ima': 26, 'esānaṃ': 1}"
"na"	"ind"	"neg"	""	""	"20143"	"{'na': 20143}"
"ya"	"pron"	"until-then"	""	"a pron"	"20046"	"{'yaṃ': 4861, 'yo': 3987, 'ye': 3193, 'yena': 3301, 'yā': 1512, 'yassa': 791, 'yato': 588, 'yasmiṃ': 442, 'yāni': 286, 'yesaṃ': 280, 'yehi': 184, 'yasmā': 176, 'yāyaṃ': 101, 'yānaṃ': 80, 'yāya': 66, 'yassā': 81, 'yassaṃ': 41, 'yesu': 30, 'yamhi': 15, 'yāsu': 12, 'yāhi': 11, 'yamhā': 4, 'yāsaṃ': 3, 'ya': 1}"
"hoti"	"pr"	""	"√hū 1 (be)"	"hoti pr"	"19313"	"{'hoti': 17534, 'honti': 1202, 'hotu': 279, 'homi': 96, 'hohi': 82, 'hotha': 58, 'hontu': 34, 'hosi': 16, 'homa': 12}"
"vā"	"ind"	"conj"	""	""	"18368"	"{'vā': 18368}"
"api"	"ind"	"interr"	""	""	"14455"	"{'api': 14455}"
"evaṃ"	"ind"	""	""	""	"14072"	"{'evaṃ': 14072}"
